"","b1","b2"
"1",-0.0003932,0.003743
"2",-0.000232,0.0006695
"3",0.0002019,0.001101
"4",-0.0003171,-0.0007323
"5",0.0008126,-0.007905
"6",0.001137,0.0002565
"7",0.0003207,0.01595
"8",-0.0004985,5.398e-05
"9",-0.0002177,0.01095
"10",-0.0004765,0.0001758
"11",-0.0009497,-0.01008
"12",-8.866e-06,-0.01909
"13",0.0001004,-0.002109
"14",-0.0001783,-0.02763
"15",0.0002107,0.01795
"16",-0.0003968,0.001301
"17",-0.0002807,-0.006388
"18",-0.0004041,0.01455
"19",0.0002297,-0.0002653
"20",0.0003836,-0.0003256
"21",-0.0007078,0.01739
"22",0.0001017,0.01591
"23",-0.0009861,-0.008073
"24",-0.0006659,0.0005857
"25",-0.0007892,0.0003142
"26",0.0003882,0.00112
"27",-8.159e-05,-0.0121
"28",0.0004361,-0.008025
"29",0.0008379,-0.007813
"30",-0.0005912,-0.009757
"31",7.119e-05,0.0006411
"32",-0.0004565,-4.094e-06
"33",2.323e-05,0.001291
"34",-0.0001424,-0.0006473
"35",-0.0002854,0.006811
"36",0.0005322,-0.00127
