"","x"
"1",4.155
"2",1.982
"3",1.341
"4",0.9292
"5",0.7802
"6",0.06648
"7",0.4558
"8",0.2245
"9",0.297
"10",0.2293
"11",0.1272
"12",0.2772
"13",0.2604
"14",0.2153
"15",0.09433
"16",0.1745
"17",0.1952
"18",0.1526
"19",0.1548
"20",0.1842
"21",0.1873
"22",0.1913
"23",0.1344
"24",0.1246
"25",0.09556
"26",0.1251
"27",-0.009629
"28",0.1134
"29",0.135
"30",0.1365
"31",0.115
"32",-0.01593
"33",0.1064
"34",0.09934
"35",0.08083
"36",0.1153
"37",0.09678
"38",0.09121
"39",0.09078
"40",0.09316
"41",0.07808
"42",0.06496
"43",0.0617
"44",0.06118
"45",-0.002193
"46",0.003269
"47",0.07353
"48",0.07416
"49",0.07701
"50",0.07461
"51",0.06332
"52",0.06417
"53",0.06447
"54",0.05779
"55",-0.006404
"56",0.06644
"57",0.07022
"58",0.04666
"59",0.0413
"60",0.03562
"61",0.04514
"62",0.01632
"63",0.04258
"64",0.01519
"65",0.04244
"66",0.03479
"67",0.04895
"68",0.05809
"69",0.03795
"70",0.04956
"71",0.04752
"72",0.0437
"73",0.05148
"74",0.05113
"75",0.05196
"76",0.04389
"77",0.04709
"78",0.03156
"79",0.04978
"80",0.0396
"81",0.04162
"82",0.04511
"83",0.0269
"84",0.02672
"85",0.04445
"86",0.04397
"87",0.0402
"88",0.02363
"89",0.0366
"90",0.02223
"91",0.02386
"92",0.01782
"93",0.01031
"94",0.02433
"95",0.02332
"96",0.01437
"97",0.04186
"98",0.04058
"99",0.04143
"100",0.0422
"101",0.04077
"102",0.04428
"103",0.03825
"104",0.04275
"105",0.01672
"106",0.01454
"107",0.03379
"108",0.03357
"109",0.03473
"110",0.03406
"111",0.02721
"112",0.03408
"113",0.03236
"114",0.002054
"115",0.01397
"116",0.033
"117",0.009264
"118",0.015
"119",0.01089
"120",0.03112
"121",0.03384
"122",0.0337
"123",0.03387
"124",0.03711
"125",0.03444
"126",0.01282
"127",0.02132
"128",0.02524
"129",0.03229
"130",0.03254
"131",0.01885
"132",0.03065
"133",0.02615
"134",0.02198
"135",0.02911
"136",0.0134
"137",0.01445
"138",0.01451
"139",0.01531
"140",0.01609
"141",0.01157
"142",0.02577
"143",0.02613
"144",0.02916
"145",0.02506
"146",0.01004
"147",0.01866
"148",0.02628
"149",0.02703
"150",0.02833
"151",0.02808
"152",0.01638
"153",0.02388
"154",0.0245
"155",0.02142
"156",0.02016
"157",0.01191
"158",0.0002649
"159",0.01769
"160",0.008584
"161",0.01773
"162",0.0176
"163",0.01649
"164",0.02735
"165",0.02551
"166",0.0212
"167",0.0233
"168",0.01444
"169",0.01081
"170",0.02299
"171",0.0002038
"172",0.01931
"173",0.005741
"174",0.02318
"175",0.01982
"176",0.02437
"177",0.01312
"178",0.0209
"179",0.02195
"180",-0.002965
"181",0.01452
"182",0.007227
"183",0.02414
"184",0.01987
"185",0.01869
"186",0.02139
"187",0.02029
"188",0.01583
"189",0.005326
"190",0.007672
"191",0.0106
"192",0.0106
"193",0.0142
"194",-0.002767
"195",0.01519
"196",0.003886
"197",0.004982
"198",0.01971
"199",0.01684
"200",-0.002585
"201",0.01486
"202",0.003993
"203",0.01328
"204",0.02001
"205",0.01898
"206",0.01884
"207",0.01811
"208",0.01871
"209",0.01758
"210",0.005094
"211",0.006515
"212",0.007167
"213",0.01452
"214",0.002297
"215",0.01361
"216",0.01464
"217",0.01019
"218",0.01706
"219",0.01455
"220",0.008419
"221",0.01027
"222",0.008798
"223",0.01613
"224",0.004839
"225",0.0127
"226",0.01482
"227",0.01173
"228",0.01165
"229",0.01144
"230",0.00609
"231",-0.002258
"232",0.01396
"233",0.01813
"234",0.0102
"235",0.00501
"236",0.008631
"237",0.01702
"238",0.01243
"239",0.01521
"240",0.0107
"241",0.01122
"242",0.01735
"243",0.01962
"244",0.01731
"245",0.01591
"246",0.01667
"247",0.01651
"248",0.01495
"249",0.01073
"250",0.01068
"251",0.01408
"252",0.002281
"253",0.008026
"254",0.005835
"255",0.01234
"256",0.008086
"257",0.01103
"258",0.01402
"259",0.01202
"260",0.01326
"261",0.01378
"262",0.009867
"263",0.01046
"264",0.007676
"265",0.0133
"266",0.01067
"267",0.01031
"268",0.01317
"269",0.01354
"270",0.01143
"271",0.01313
"272",0.01274
"273",0.01337
"274",0.00614
"275",0.007123
"276",0.01593
"277",0.01283
"278",0.01014
"279",0.0008521
"280",0.008797
"281",0.007208
"282",0.01082
"283",0.006551
"284",0.0129
"285",0.01253
"286",0.01351
"287",0.01275
"288",0.01941
"289",0.007798
"290",0.008966
"291",0.01381
"292",0.008493
"293",0.006522
"294",0.006315
"295",0.006081
"296",0.006853
"297",0.01509
"298",0.01387
"299",0.003652
"300",0.005552
"301",0.005241
"302",0.004913
"303",0.008144
"304",0.002109
"305",0.009222
"306",0.01135
"307",0.007655
"308",0.01001
"309",-0.001806
"310",0.005964
"311",0.006488
"312",0.005961
"313",0.01061
"314",0.01197
"315",0.01138
"316",0.01027
"317",0.01042
"318",0.01038
"319",0.01171
"320",0.00781
"321",0.009211
"322",0.01135
"323",0.01171
"324",0.003821
"325",0.002845
"326",0.008069
"327",0.008767
"328",0.008817
"329",0.01107
"330",0.0112
"331",0.0103
"332",0.01062
"333",0.01148
"334",0.008942
"335",0.0101
"336",0.01063
"337",0.009208
"338",0.0102
"339",0.009654
"340",0.01095
"341",0.008765
"342",0.01149
"343",0.01143
"344",0.008225
"345",0.01148
"346",0.009437
"347",0.008133
"348",0.01028
"349",0.01133
"350",0.009225
"351",0.006357
"352",0.009134
"353",0.00906
"354",0.01099
"355",0.01161
"356",0.00804
"357",0.008677
"358",0.007827
"359",0.01025
"360",0.01053
"361",0.009596
"362",0.009775
"363",0.007955
"364",0.0113
"365",0.01037
"366",-0.001433
"367",0.007724
"368",0.01058
"369",0.01024
"370",0.009549
"371",0.01083
"372",0.0001318
"373",0.005313
"374",0.008798
"375",0.006699
"376",0.009943
"377",0.009499
"378",0.002746
"379",0.009765
"380",0.01008
"381",-0.001123
"382",0.00244
"383",0.008323
"384",0.01086
"385",0.009876
"386",0.008817
"387",0.01035
"388",0.007075
"389",0.01052
"390",0.009443
"391",0.01091
"392",0.007987
"393",0.006798
"394",0.005163
"395",0.005861
"396",0.00894
"397",0.00767
"398",0.006269
"399",0.007252
"400",0.008253
"401",0.008469
"402",0.006099
"403",0.003389
"404",0.006312
"405",0.008214
"406",0.005912
"407",0.008117
"408",0.005605
"409",0.00658
"410",0.008323
"411",0.007826
"412",0.003684
"413",0.009135
"414",0.009177
"415",0.001357
"416",0.005763
"417",0.01005
"418",0.008985
"419",0.004576
"420",0.00471
"421",0.0044
"422",0.007615
"423",0.006605
"424",0.002765
"425",0.006102
"426",0.00783
"427",0.007243
"428",0.003838
"429",0.003926
"430",0.003875
"431",0.003327
"432",0.00602
"433",0.007573
"434",0.009044
"435",-0.00118
"436",0.008525
"437",0.008873
"438",0.0008272
"439",0.00894
"440",0.008467
"441",0.006164
"442",0.007715
"443",0.007567
"444",0.006875
"445",0.003956
"446",0.003719
"447",0.005772
"448",0.006644
"449",0.008579
"450",0.00816
"451",0.003245
"452",0.006101
"453",0.001858
"454",0.002096
"455",0.005393
