"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0.00116950699930507,0.0314915166855528,-0.0590220963379197,-0.0199691199117436,0.00136679419099759,0.0214431697484954,0.0627117300118875,1.00106116065,3200
"b1[2]",0.00069201714120189,0.0319157997262852,-0.0637458823032844,-0.0204106414459843,0.00150547706139426,0.0225306210090467,0.0628979321995784,1.00056070223615,3200
"b1[3]",0.000276391753055914,0.0320311205030057,-0.0631177149433742,-0.020858585843796,0.00128514269103451,0.0215419402041876,0.062007492804154,1.0035846286225,660
"b1[4]",0.000227999407291769,0.0319406780771222,-0.0653603660293129,-0.0209876966270316,-9.79599811917094e-05,0.0207861606000387,0.0639036594846757,1.00103790746687,3200
"b1[5]",0.00197017855366018,0.0322182107153502,-0.0620955068087122,-0.0199059345437375,0.00196741975595341,0.0242398110408443,0.0641094513354994,1.00088128912467,3200
"b1[6]",1.9075959869005e-05,0.0309231945744117,-0.0600790573169005,-0.0209999365751774,-0.000773932134926218,0.0207762174301494,0.0628953370992935,1.00133581379856,2500
"b1[7]",0.11110617301527,0.0290365913935671,0.0537351626114969,0.091942640756835,0.111435560768315,0.130956000013369,0.166032360410445,1.00624474875396,1700
"b1[8]",0.00722883514412788,0.0312658907751074,-0.0545299570756058,-0.0136693258107882,0.00719795366167998,0.0288832879696354,0.0689464694046265,1.00054167917639,3200
"b1[9]",0.00183724625956349,0.0314561460076566,-0.0602498170261719,-0.0188171986548908,0.00158118900355343,0.0231408043152595,0.0638931054107655,1.00054021559788,3200
"b1[10]",0.00646145409007288,0.0317835599323141,-0.0559049226609896,-0.0145008487383297,0.00663279869824073,0.0283487919342251,0.0704981088832593,1.00055926040091,3200
"b1[11]",0.000261224253964819,0.031529800370053,-0.0607479771545688,-0.0205762867753,0.000305461355600736,0.0212090527342603,0.0631122947967158,1.00079711427414,3200
"b1[12]",0.00551351162475859,0.0317280624745245,-0.0576386725254246,-0.0157975164718581,0.00543637536872743,0.0267400208672078,0.0684296871334484,1.00098659606106,3200
"b1[13]",0.0111493218806105,0.0313460558934342,-0.050811333967587,-0.00929235025817023,0.0115572760478735,0.031938486794523,0.0725804229733648,1.00060777382995,3200
"b1[14]",0.000278403521858285,0.032246386668649,-0.0631706840259153,-0.0218000949480571,-0.000282327138169639,0.0234220528592562,0.0618701399463794,1.00064605006084,3200
"b1[15]",0.000984555420360411,0.0310933635432802,-0.058965363523145,-0.020121623218372,9.17139512601065e-05,0.0218602493436969,0.0626845012728859,1.00078113341428,3200
"b1[16]",0.00892738023997528,0.0319701572746822,-0.0541866166945873,-0.0120459558980353,0.00866560984579663,0.0300762888937594,0.0716347937623166,1.00080600584698,3200
"b1[17]",-0.000224878315323734,0.0318827523455685,-0.0641781970561939,-0.0214570165177304,0.000636247637530347,0.0211563559608298,0.0608716528028584,1.00055570715714,3200
"b1[18]",0.00131061214193447,0.0309857553390536,-0.0585251352974939,-0.0198557442022823,0.000991368801169257,0.0223765618365283,0.06263408256739,1.00180154703604,1600
"b1[19]",0.000788874719533691,0.0313601773795432,-0.0601110830231551,-0.0201757877124318,0.000879266977998287,0.0216851391465467,0.0626935561827594,1.00081392846194,3200
"b1[20]",0.000308823584771521,0.0315972696200083,-0.0608596057210837,-0.0214142791184807,-0.00025875984422092,0.02218252656331,0.061490487518133,1.00067128261133,3200
"b1[21]",0.00450304325893232,0.0312490694749542,-0.0561547615251466,-0.0167044317813967,0.00464146593153765,0.0256904764803005,0.0658839012406779,1.00064188049494,3200
"b1[22]",0.000261132450007154,0.0312260228951579,-0.0625433730950542,-0.0204003036908535,0.000385787850655028,0.0211162870139503,0.0607604426375151,1.00115925871894,3200
"b1[23]",0.0216115000932576,0.0311468106204561,-0.0394233131295025,8.93968747435123e-05,0.0221511832838413,0.0436437746407802,0.0821513461713113,1.00151244726055,2000
