"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",-0.000625488424590503,0.0316596691154878,-0.0637652919156602,-0.0226239743375887,0.000111258525513934,0.0207945970278439,0.061803716541501,1.00059170113406,3200
"b1[2]",0.0011575553590872,0.0320443473419544,-0.061659668566667,-0.0207764122357076,0.00130643564433612,0.0223329508717472,0.0647619537453675,1.00151163346988,2000
"b1[3]",0.00079938379033167,0.0320371106750448,-0.0617785508920473,-0.0204067206541468,0.000663104715502632,0.0226007511699953,0.0631010649434882,1.00125286518795,2800
"b1[4]",-0.000127511445581769,0.0317662222553102,-0.0612679952632468,-0.0217042849175789,-0.000218389445985939,0.0216347016454378,0.0624340712603316,1.00169756424609,1700
"b1[5]",0.00348545910042819,0.0311935892199813,-0.0592312413325391,-0.0176239926961812,0.00393949469646335,0.0245976706625942,0.0645289804416707,1.00109307695807,3200
"b1[6]",0.000137833432138326,0.0322002026209404,-0.0623673653327976,-0.0224487453175493,0.000403765611596236,0.0220395108979889,0.0603700945575901,1.00068881081715,3200
"b1[7]",-8.81642647871037e-05,0.0318570764084351,-0.0618630915586229,-0.0218941431645285,-8.59282024883866e-05,0.0215698431895279,0.0624476322390133,1.00078840110874,3200
"b1[8]",-0.000405984688079719,0.0316193950342292,-0.0621463169062535,-0.0216231377490705,-0.000803306605651922,0.0209064317710032,0.061542465768841,1.00107455124783,3200
"b1[9]",0.0130243926071787,0.0309240590746972,-0.0476309418874347,-0.00710777834656394,0.0129722214100362,0.0336242645133938,0.073153878003453,1.00060417077239,3200
"b1[10]",0.0208300467687271,0.0319797406562698,-0.0418002378412315,-0.000756883186573806,0.0206308179438933,0.0421437764265911,0.0839322353795548,1.00064810708074,3200
"b1[11]",-0.000564816231889042,0.0318208273039191,-0.0590748895759307,-0.0216921972422412,-0.00111957241399601,0.0203571485032019,0.0646304212898589,1.00079294831962,3200
"b1[12]",0.000405881948208593,0.031122824429902,-0.0621338074956892,-0.0200612783797163,0.000339754148777958,0.0211217164469054,0.0598805714942475,1.0016293350477,1800
"b1[13]",0.000683990671125377,0.0319150571388777,-0.0622109298596979,-0.020539380953252,0.000133577904819684,0.0211989480152531,0.0632867811757869,1.00092023394806,3200
"b1[14]",0.0001346350806314,0.0315294096397687,-0.0632960521408181,-0.0202239865917018,-2.09411453219119e-05,0.0208050478593768,0.0618720305708753,1.00081951809102,3200
"b1[15]",0.00452471212858934,0.031456549125039,-0.0563058982706304,-0.0160928734202483,0.00471322026685817,0.0265280938948961,0.0655212049465845,1.00131065217388,2600
"b1[16]",0.0837917781574204,0.0299777162171069,0.0250893880175593,0.0633185947385759,0.0838545030294138,0.103445683006611,0.143579550312238,1.00355015387179,660
"b1[17]",0.132806864183262,0.0297892067689383,0.0735860451255252,0.112814253522278,0.133239036336907,0.152841551985064,0.189475948159572,1.00382182130527,670
"b1[18]",0.00963699569116029,0.031304969029749,-0.05223678025707,-0.0106008157211936,0.00922258764449845,0.0301844384614992,0.0720515161451112,1.00275684540505,900
"b1[19]",2.66248196599649e-05,0.03241009598572,-0.0629171292333134,-0.0223573299535512,2.63672339717927e-06,0.0222620563610871,0.0644826673193492,1.00063361225685,3200
"b1[20]",0.129536494184835,0.0301415047673284,0.0692120363592617,0.109774284000771,0.130203190986058,0.149659073171745,0.187841390359614,1.00104180964135,3200
"b1[21]",0.0381299636054302,0.0308645625711744,-0.0217681179850348,0.0175704528464165,0.0377838956823845,0.0591788583627738,0.0987919749426026,1.0015978935851,1900
"b2[1]",0.0074864467703751,0.0171115628209246,-0.0298119592181991,-0.00339446000467555,0.00860423859225061,0.0195500581923972,0.0374280321304769,1.00149454412978,2100
"b2[2]",0.00528844067243577,0.00280934079588461,-0.000234420453239349,0.00335935964052375,0.00532905116694751,0.00721891441511364,0.0106005573373903,1.00283819772461,870
"b2[3]",0.0100556343352289,0.00269491253474302,0.00471259278805389,0.00829215679296962,0.0101014952871283,0.0118574531868577,0.0151908666752892,1.00561021108285,400
"b2[4]",-0.00334154123194579,0.0111610696610007,-0.0277169384982474,-0.0103959395184924,-0.00259790801947615,0.00451605081382499,0.0162049361041029,1.00228957710065,1100
"b2[5]",0.0223795915389557,0.00152531695849974,0.0197077936593572,0.0214385682367946,0.0224172604176642,0.0233727802221447,0.0251209997022272,1.0140076436529,3200
"b2[6]",-0.00532086392409255,0.0185115103122466,-0.0434499305345698,-0.0170939171675381,-0.00467180770426468,0.00784569439294119,0.02786902757824,1.0017139617253,1700
"b2[7]",-0.00446483047392694,0.0214098202091422,-0.0503978640911931,-0.0183659498220291,-0.00314293928844078,0.0104351011619006,0.0333346751878309,1.00181183610952,1600
"b2[8]",0.00132031206254176,0.00780202879517822,-0.0147410189780962,-0.00367488384562943,0.00159576587572442,0.00692079282957368,0.0153172908560425,1.01213676392361,180
"b2[9]",0.0155403759640953,0.00262249873985928,0.0103062876405328,0.0138770632295026,0.015582361868912,0.0172906688308405,0.0205898865269902,1.00192165800431,3200
"b2[10]",0.0171910708950179,0.00265859621850925,0.0120965241129172,0.0154978661117868,0.0171784118321028,0.0189353232484623,0.0223720469497296,1.00056413119531,3200
"b2[11]",-0.00422474548481055,0.0162449017775552,-0.0396773093201079,-0.0135447776061093,-0.00316553782596531,0.00703030500346161,0.0240763281159459,1.00077501888116,3200
"b2[12]",-0.00566932163507763,0.0199427000667286,-0.0483453716678373,-0.0181252057301643,-0.00429367976265083,0.00823594687742591,0.0294194776142561,1.000932866177,3200
"b2[13]",-0.00343635969382742,0.0131385607833568,-0.0327379360615236,-0.0113171693885038,-0.00246117936125926,0.00574238970411582,0.0199794863850811,1.00427053105415,610
"b2[14]",-0.00190959709352923,0.00839105339719166,-0.0194426265718767,-0.00732747368445716,-0.00153401203583118,0.00387719456606904,0.0132127481077716,1.00501260487104,450
"b2[15]",0.0121518929367476,0.0038631849274828,0.00421007240384949,0.00970246630384433,0.0122008653513037,0.0147637185358109,0.0195957061369797,1.00767068327194,280
"b2[16]",0.02291148344973,0.00159828886365718,0.0201453926583357,0.0219841206703635,0.0229245068971528,0.0239184398099668,0.0256714840377332,1.00391541694688,640
"b2[17]",0.0250437787278063,0.00128404365670841,0.0228956320375441,0.0243675284970898,0.0250486477771069,0.0257771192858161,0.0271949107761819,1.01188799554911,3200
"b2[18]",0.0127701602642208,0.00201679224837956,0.00881374565422786,0.0114079162072681,0.0127900435891505,0.0140781070423861,0.016656154713973,1.00162617366447,3200
"b2[19]",0.0135445536836076,0.00433419253810578,0.00477051696341224,0.0106577833519411,0.0136327218508631,0.0165067375552325,0.0220275186797591,1.00252659244196,1000
"b2[20]",0.0260131162338816,0.00144559722098884,0.0235302990390232,0.0251615424311372,0.0260380798037652,0.0269086043506874,0.0285071663654844,1.00357322055831,3200
"b2[21]",0.0204525967449167,0.0015443521585723,0.017605538921047,0.0195191360538543,0.0204824995953293,0.0214505962672696,0.0232745971114058,1.00393572891105,3200
"b3",0.0466557121318996,0.0229596592438846,0.00126797995149023,0.0310904414075503,0.0467111963685726,0.0623551003783009,0.0905623006440215,1.00076693822454,3200
"deviance",7998.42438400134,65.3769246682935,7971.5320566033,7987.06410131086,7995.79564740935,8005.26486738149,8024.00292340908,1.00070675979083,3200
