"","x"
"1",-0.2077
"2",0.0804
"3",0.3397
"4",-0.1316
"5",-0.06549
"6",0.02927
"7",0.07859
"8",-0.06118
"9",0.07672
"10",0.05934
"11",0.1131
"12",0.1852
"13",0.06969
"14",-0.01924
"15",0.1306
"16",0.177
"17",0.03568
"18",0.1157
"19",0.05807
"20",0.07231
"21",0.06402
"22",-0.008476
"23",0.01556
"24",0.134
"25",0.07499
"26",0.06596
"27",0.002386
"28",0.03126
"29",0.05162
"30",0.01685
"31",0.02061
"32",-0.003352
"33",0.1042
"34",0.002211
"35",0.006559
"36",0.06629
"37",0.04903
"38",0.07104
"39",0.06129
"40",0.03028
"41",0.01804
"42",0.02939
"43",0.03739
"44",0.03771
"45",0.04337
"46",0.004074
"47",-0.01279
"48",-0.01031
"49",0.06221
"50",0.03304
"51",0.06482
"52",-0.001083
"53",0.02429
"54",0.03918
"55",-0.001598
"56",-0.001828
"57",0.01631
"58",-0.001535
"59",0.02031
"60",0.02148
"61",0.01483
"62",0.01365
"63",0.01634
"64",0.01731
"65",0.007057
"66",0.03544
"67",0.04219
"68",0.01508
"69",0.02417
"70",0.0006117
"71",0.01893
"72",0.0201
"73",0.02124
"74",0.01128
"75",-0.007556
"76",0.02832
"77",0.0169
"78",0.02583
"79",0.01861
"80",0.03184
"81",0.01477
"82",0.01895
"83",0.007315
"84",0.01615
"85",0.01488
"86",0.009015
"87",-0.006922
"88",0.01975
"89",0.02175
"90",0.003682
"91",0.02758
"92",0.02072
"93",0.01171
"94",0.01752
"95",0.0009649
"96",0.01684
"97",0.01559
"98",-0.008993
"99",0.01801
"100",0.01079
"101",0.03213
"102",-0.0002634
"103",0.01934
"104",0.007659
"105",0.01003
"106",0.01215
"107",0.002539
"108",-0.002968
"109",-0.004982
"110",0.02706
"111",0.02312
"112",0.003888
"113",0.03022
"114",0.02298
"115",0.008532
"116",0.01419
"117",0.01126
"118",0.002426
"119",0.01064
"120",0.007873
"121",0.003607
"122",0.01559
"123",0.005011
"124",0.01409
"125",0.007612
"126",0.009895
"127",0.0006787
"128",-0.003278
"129",0.006439
"130",-0.004737
"131",0.006922
"132",0.0006381
"133",0.01735
"134",0.003311
"135",0.02318
"136",0.001523
"137",0.008375
"138",0.01131
"139",0.003222
"140",0.01391
"141",0.01578
"142",0.003093
"143",0.002756
"144",0.0001651
"145",0.001921
"146",0.001673
"147",-0.00543
"148",-0.004545
"149",0.01277
"150",0.0008806
"151",-0.001787
"152",0.005101
"153",0.003838
"154",-0.0005296
"155",0.0144
"156",-0.005096
"157",0.009984
"158",0.01072
"159",0.01422
"160",0.01277
"161",0.002737
"162",0.009895
"163",0.008434
"164",0.0003941
"165",0.0106
"166",0.00176
"167",0.0007951
"168",-0.002007
"169",-0.00384
"170",0.0137
"171",0.01052
"172",-0.002892
"173",-7.741e-07
"174",-0.004619
"175",0.01623
"176",-0.005436
"177",0.01093
"178",-0.003362
"179",0.003982
"180",0.005028
"181",-0.003076
"182",0.003878
"183",-0.001219
"184",0.007331
"185",0.009385
"186",-0.003135
"187",0.01064
"188",0.01234
"189",0.008056
"190",0.01175
"191",-0.000628
"192",0.009816
"193",0.01021
"194",0.007209
"195",0.008872
"196",0.01049
"197",0.009445
"198",-0.002015
"199",-0.0008624
"200",0.001228
"201",0.005898
"202",0.001679
"203",0.005936
"204",0.003442
"205",0.005908
"206",0.005252
"207",0.008967
"208",-0.003425
"209",-0.001567
"210",-0.003148
"211",-0.002323
"212",0.008773
"213",0.004567
"214",-0.002575
"215",-0.0009192
"216",-0.001975
"217",-0.003277
"218",0.006321
"219",0.003821
"220",0.006978
"221",0.001385
"222",0.00523
"223",-0.002982
"224",-0.00016
"225",0.0009588
"226",-0.0008242
"227",0.001805
"228",-0.00266
"229",-0.003271
"230",0.00675
"231",0.009097
"232",0.008051
"233",-0.001492
"234",-0.002399
"235",0.007527
"236",-5.326e-05
"237",-0.002701
"238",0.001775
"239",0.006528
"240",0.002753
"241",0.004799
"242",0.003217
"243",0.004184
"244",0.005007
"245",0.001928
"246",0.00505
"247",0.00509
"248",0.009616
"249",0.007787
"250",0.0002364
"251",0.001999
"252",0.005232
"253",0.005141
"254",-0.002093
