"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",-0.03773,0.02036,-0.07703,-0.05157,-0.03754,-0.02374,0.001683,1.001,2500
"deviance",16600,47.24,16510,16570,16600,16630,16700,1.004,660
"sigma",0.488,0.02161,0.4468,0.4734,0.4879,0.5025,0.5303,1.002,1900
