"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0.0251376084583592,0.0312377654608184,-0.0357010589493758,0.00366856425812334,0.0256891201335618,0.0465725220603238,0.0847588752938629,1.00107191206614,3200
"b1[2]",0.0658669580427097,0.030182566460396,0.00768061197522283,0.0450471569016861,0.0655676940018513,0.0865213638765994,0.125528905188353,1.00063953074352,3200
"b1[3]",0.00023928015820517,0.0314067888286521,-0.0596177393180075,-0.0209145271600267,0.000119528828104115,0.0209224623440886,0.061241054890525,1.00070699540722,3200
"b1[4]",0.00264961034258276,0.0316312533934088,-0.0597903887700989,-0.0184283921324985,0.00240124067860781,0.0237137665156896,0.0634548651810945,1.00054031552425,3200
"b1[5]",0.00300766310963017,0.0313330689241808,-0.0591867586368284,-0.0181360764103022,0.00324212610735054,0.0245212236269444,0.0634041768086341,1.0015631909546,1900
"b1[6]",0.00444938543420141,0.0315862627873727,-0.0578854791102202,-0.0170274744880515,0.0044938974106706,0.026262026539573,0.0670924127097892,1.00133900742368,2500
"b1[7]",5.80893446426045e-05,0.0313422415238047,-0.0615249588021317,-0.0213724132741544,0.000803845329891133,0.0212580103474918,0.0608017477752347,1.00142981895239,2200
"b1[8]",-0.000561761505573612,0.031018988573873,-0.062201448258378,-0.0215921083590887,-0.00119906242079374,0.0203028974918775,0.0598962610430594,1.00110463130142,3200
"b1[9]",0.000377550383955196,0.0312661165477397,-0.0607104327371791,-0.0207234585580669,-5.23297614866587e-05,0.022305253874931,0.0621896054866872,1.00107211871492,3200
"b1[10]",0.0010749390682271,0.0310822808998821,-0.0607010980525197,-0.0204630313131908,0.0014262075940117,0.0218219302315149,0.0623004344074444,1.00189338466786,1500
"b1[11]",0.00209310309724273,0.0315633214241216,-0.0606615125538358,-0.0191852219461297,0.00229649159317922,0.0233625879580245,0.0626039779025357,1.00059822381591,3200
"b1[12]",0.00151385097068216,0.0313175866881259,-0.0589098182306976,-0.0197896950030503,0.00100112669822371,0.0226933546574874,0.0630570618018438,1.00117216278412,3100
"b1[13]",0.0148147583749228,0.0307149263803079,-0.0443069404103233,-0.00641183743520028,0.0150390766882278,0.0355010152866473,0.0749403617490863,1.00357154086056,660
"b1[14]",0.00134301685169053,0.0311106025997386,-0.061668771928701,-0.0192185709912694,0.00136651466206533,0.0225583798773508,0.0619486369221174,1.00092531808774,3200
"b1[15]",0.0175559926378915,0.0313283845713275,-0.0429524554834756,-0.00381982727530956,0.0176132045612737,0.0388038376931558,0.0793939504302141,1.00342338116783,690
"b1[16]",0.15621552263112,0.029950421250949,0.0975534881967747,0.135974684275702,0.156471121895904,0.176558634652501,0.213365490690122,1.00197462199507,1500
"b1[17]",-0.000654471230370514,0.0319742886234464,-0.0630089688665665,-0.021995068291002,-0.000982124531740515,0.0207872605219152,0.062616220555738,1.00060624278303,3200
"b1[18]",0.0167353556684035,0.0307720860512809,-0.0440498021681658,-0.00372825208180514,0.0162619490416225,0.0376037343465364,0.0765764665000617,1.00068852982867,3200
"b1[19]",0.0309909928318845,0.0307254775863403,-0.02875947914283,0.0105971613938295,0.0301503362249969,0.0514959833042844,0.0916668518898945,1.000833798731,3200
"b1[20]",0.00043878933960179,0.0313630261118957,-0.0613284460884257,-0.0194958389602054,-1.97165474009626e-05,0.0213940488906204,0.0601876338852999,1.00075629491507,3200
