"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",-0.02283,0.01908,-0.06014,-0.03568,-0.02318,-0.009693,0.01441,1.002,1100
"deviance",32610,106.7,32400,32540,32610,32680,32820,1.001,3000
"sigma",2.362,0.04988,2.267,2.328,2.361,2.396,2.461,1.001,2700
