"","x"
"1",0.08677
"2",-0.08382
"3",0.2581
"4",-0.03476
"5",-0.07118
"6",-0.07681
"7",-0.06883
"8",-0.0533
"9",-0.01827
"10",0.02761
"11",0.03145
"12",0.02829
"13",-0.0398
"14",-0.01888
"15",-0.01922
"16",-0.01351
"17",0.03189
"18",-0.02929
"19",-0.0374
"20",-0.001513
"21",-0.02368
"22",-0.02415
"23",-0.0199
"24",-0.02169
"25",0.02094
"26",-0.008633
"27",0.01711
"28",-0.01968
"29",-0.008915
"30",-0.004772
"31",-0.0165
"32",-0.01401
"33",-0.004113
"34",-0.01304
"35",-0.005285
"36",-0.007127
"37",-0.01769
"38",-0.01457
"39",-0.005279
"40",-0.01793
"41",0.01473
"42",-0.006634
"43",-0.0105
"44",-0.01122
"45",0.02104
"46",-0.01272
"47",0.002318
"48",-0.006748
"49",0.007595
"50",0.01332
"51",0.009214
"52",0.002074
"53",0.008227
"54",-0.01161
"55",-0.00281
"56",-0.008175
"57",0.002828
"58",0.00418
"59",-0.003962
"60",-0.005743
"61",-0.005057
"62",0.02078
"63",-0.009323
"64",-0.00859
"65",-0.008637
"66",-0.008077
"67",0.003303
"68",-0.006102
"69",0.006546
"70",0.005607
"71",-0.002566
"72",-0.006213
"73",0.001293
"74",-0.003219
"75",-0.007583
"76",-0.006953
"77",0.003142
"78",0.002795
"79",-0.005574
"80",0.007311
"81",-0.00523
"82",-0.004141
"83",-0.002726
"84",-0.001981
"85",-0.007228
"86",-0.002383
"87",-0.002968
"88",-0.001547
"89",-0.002609
"90",-0.002117
"91",-0.002197
"92",0.001738
"93",-0.002359
"94",-0.001935
"95",0.005926
"96",0.01126
"97",-0.001035
"98",-0.006989
"99",0.001545
"100",5e-04
"101",0.002523
"102",-0.002513
"103",-0.002774
"104",-0.006312
"105",-0.002463
"106",-0.006872
"107",-1.829e-05
"108",0.004761
"109",-0.003915
"110",-0.001149
"111",0.002707
"112",-0.001802
"113",0.002132
"114",-0.001852
"115",0.002151
"116",-0.004113
"117",-0.001927
"118",-0.00411
"119",0.009631
"120",0.01183
"121",-0.004969
"122",0.00253
"123",0.005644
"124",-0.002159
"125",-0.003102
"126",0.004888
"127",0.007259
"128",-0.004867
"129",0.003304
"130",-0.004787
"131",-0.002732
"132",-0.003594
"133",0.004265
"134",0.01007
"135",-0.003043
"136",-0.004748
"137",0.004937
"138",0.006722
"139",0.008167
"140",0.000873
"141",0.004272
"142",0.002415
"143",0.006654
"144",-0.0025
"145",-0.002924
"146",0.005421
"147",0.0007701
"148",-0.002335
"149",0.003223
"150",-0.003812
"151",-0.001605
"152",0.004754
"153",-0.004495
"154",0.001288
"155",0.003521
"156",-0.00327
"157",0.005041
"158",0.004798
"159",0.001182
"160",0.001611
"161",0.006498
"162",0.008126
"163",0.005786
"164",-0.003771
"165",-0.003261
"166",-0.003508
"167",-0.003436
"168",0.0002566
"169",-0.00207
"170",-0.003057
"171",-0.004761
"172",-0.004754
"173",-0.0006944
"174",0.001251
"175",-0.002185
"176",0.0003758
"177",-0.001117
"178",0.0003232
"179",0.00231
"180",-0.002528
"181",0.007036
"182",0.003746
"183",0.003304
"184",-0.002125
"185",-0.002422
"186",-0.0006603
"187",-0.002789
"188",-0.0005218
"189",-0.003745
"190",-0.001546
"191",-0.002368
"192",-0.0004155
"193",0.002831
"194",0.001849
"195",0.0004954
"196",0.0005123
"197",0.004963
"198",-0.004285
"199",-0.002492
"200",-0.001681
"201",-0.002872
"202",0.005078
"203",-0.002578
"204",-0.002942
"205",-0.001451
"206",0.006122
"207",-0.001119
"208",0.004503
"209",-0.0004966
"210",-0.001324
"211",0.005435
"212",0.005429
"213",-0.00119
"214",0.001436
"215",0.00181
"216",-0.002868
"217",0.0007022
"218",0.002048
"219",0.006073
"220",-0.002695
"221",-0.002129
"222",-0.000939
"223",-0.0009336
"224",0.001106
"225",-0.002555
"226",-0.002283
"227",-0.002088
"228",-0.003348
"229",-0.004121
"230",-0.000267
"231",0.002448
"232",-0.0009572
"233",-0.001424
"234",-0.002438
"235",0.001909
"236",0.00158
"237",0.001991
"238",-0.002096
"239",0.0001577
"240",-0.002481
"241",-0.002091
"242",-0.002182
"243",-0.0009814
"244",0.002212
"245",-0.0009627
"246",-0.002122
"247",-0.001467
"248",-0.002656
"249",0.001695
"250",1.153e-05
"251",0.0008989
"252",-0.00141
"253",-0.0002605
"254",-0.0004143
"255",-0.002225
"256",0.002792
"257",0.001764
"258",-0.002072
"259",-0.001938
"260",8.866e-05
"261",0.004503
"262",0.001803
"263",-0.0009497
"264",-0.002146
"265",-0.002021
"266",0.004398
"267",0.002272
"268",-0.0007586
"269",-0.002079
"270",-0.001566
"271",0.002368
"272",0.0026
"273",0.002888
"274",0.00188
"275",-7.067e-05
"276",-0.001966
"277",-0.001048
"278",-0.001651
"279",-0.001301
"280",0.004474
"281",-0.0006686
"282",-0.0003177
"283",-0.002256
"284",-0.001479
"285",-0.0003397
"286",0.003723
"287",-0.0007127
"288",-0.002461
"289",-0.001344
"290",-0.0007795
"291",-0.002253
"292",-0.002799
"293",-0.0003975
"294",-8.644e-05
"295",-0.002463
"296",0.0008835
"297",-0.002271
"298",-0.002433
"299",0.002396
"300",-0.000117
"301",-0.001302
"302",-0.00166
"303",0.003172
"304",-0.002601
"305",0.001798
"306",-0.0001806
"307",-0.0003527
"308",-0.001696
"309",-0.001614
"310",0.001563
"311",-0.001567
"312",-0.00169
"313",0.0007905
"314",0.0006273
"315",-0.002048
"316",-0.001863
"317",0.0002382
"318",-0.001676
"319",-0.001684
"320",0.004172
"321",0.001472
"322",0.000525
"323",0.002828
"324",-0.001808
"325",-0.0002808
"326",0.000835
"327",-0.0004064
"328",0.001301
"329",-0.0008695
"330",-0.001578
"331",-0.001254
"332",-0.001224
"333",-0.0006923
"334",-0.0004315
"335",-0.0006777
"336",-0.0006193
"337",-0.0007507
"338",0.001644
"339",0.004472
"340",-0.001622
"341",-0.00214
"342",-0.002328
"343",0.0004615
"344",0.001133
"345",-0.0007016
"346",-0.001474
"347",-0.001585
"348",-0.001569
"349",0.003672
"350",-0.000403
"351",-0.0002635
"352",-0.00128
"353",0.0006478
"354",-0.004131
"355",0.002255
"356",-0.001419
"357",-0.001842
"358",0.002944
"359",-0.001302
"360",0.003095
"361",-0.001458
"362",-0.001575
"363",-0.001411
"364",-0.001429
"365",-0.001497
"366",-0.001399
"367",-0.001421
"368",0.00354
"369",0.002085
"370",-0.001381
"371",-0.001767
"372",0.001489
"373",0.001094
"374",0.0001416
"375",-0.0005884
"376",-0.00148
"377",-0.001489
"378",-0.001561
"379",-4e-04
"380",-0.001479
"381",0.002137
"382",0.0009702
"383",-0.00149
"384",-0.001697
"385",0.001693
"386",0.0007182
"387",-0.0001398
"388",-0.0001073
"389",0.003064
"390",-0.001551
"391",-0.001593
"392",-0.001023
"393",-0.001419
"394",0.003328
"395",-0.00124
"396",-0.001309
"397",0.000962
"398",0.001757
"399",0.0009271
"400",-0.001208
"401",-0.001354
"402",-0.001296
"403",-0.001388
"404",0.0004474
"405",0.000822
"406",-0.001338
"407",0.001624
"408",0.001557
"409",0.0005512
"410",0.0001962
"411",-0.0003122
"412",-0.001046
"413",0.000615
"414",0.0006118
"415",-0.0009347
"416",0.0001143
"417",-0.001152
"418",-0.0009688
"419",-0.001326
"420",0.002994
"421",-0.0003887
"422",-6.043e-05
"423",-0.0003209
"424",3.62e-05
"425",-0.0001771
"426",-0.001453
"427",-0.001183
"428",0.00221
"429",-0.0002645
"430",0.001379
"431",-0.0008283
"432",0.002059
"433",0.002861
"434",-0.0004956
"435",-0.001316
"436",-0.001333
"437",0.0009977
"438",-0.001313
"439",0.0005988
"440",0.0002956
"441",9.626e-05
"442",0.00174
"443",-0.0002626
"444",-0.0007037
"445",-0.0005582
"446",-0.001066
"447",-0.0009819
"448",-0.001671
"449",-0.002226
"450",-0.001401
"451",3.117e-06
"452",-0.001161
"453",-0.001246
"454",0.0008862
"455",-0.00162
"456",-0.0005211
"457",-5.59e-05
"458",0.001078
"459",-0.0002757
"460",-0.0001911
"461",-0.0003024
"462",-0.0009074
"463",-0.00122
"464",-0.0005522
"465",-0.001155
"466",-0.0008636
"467",0.001177
"468",0.002351
"469",-0.001456
"470",-0.001129
"471",-0.002125
"472",-0.0002994
"473",-0.001003
"474",-0.0007629
"475",0.00172
"476",-0.001181
"477",-0.0008535
"478",-0.002517
"479",-0.000458
"480",-0.0005769
"481",-0.001473
"482",-0.0002133
"483",0.0017
"484",-0.0003719
"485",0.0001657
"486",-0.001267
"487",-0.001159
"488",0.0009334
"489",0.001612
"490",3.392e-06
"491",-0.001034
"492",-0.001097
"493",0.001422
"494",-0.000823
"495",-0.0007845
"496",0.0001503
"497",-0.0007272
"498",-0.00075
"499",0.0007945
"500",-0.0005419
"501",0.0008807
"502",0.001604
"503",0.001974
"504",-0.001262
"505",-0.001361
"506",-0.0006135
"507",-0.0004244
"508",-0.001592
"509",-0.0002901
"510",-0.001481
"511",-0.000404
"512",-0.001091
"513",-0.001097
"514",-0.001156
"515",-0.001176
"516",-0.0009199
"517",-0.0006063
"518",-0.0003907
"519",-0.001092
"520",-0.0004623
"521",-0.001001
"522",0.0007843
"523",0.0005123
"524",-0.001142
"525",-0.0005005
"526",-0.001194
"527",-0.001021
"528",-0.001148
"529",-0.0009939
"530",-0.001103
"531",-0.0009343
"532",-0.0005728
"533",-0.001088
"534",-0.0009715
"535",-0.001165
"536",-0.001
"537",-0.001082
"538",-0.001015
"539",-0.001075
"540",-0.0001735
"541",-0.0005604
"542",-0.001023
"543",0.001269
"544",0.001426
"545",-0.0009797
"546",-0.00107
"547",-0.001074
"548",-0.0003773
"549",-0.001084
"550",-0.0006379
"551",0.000316
"552",0.0008944
"553",-0.0003429
"554",-0.0001779
"555",-0.0004712
"556",-0.001012
"557",-0.001154
"558",-0.001149
"559",-0.001019
"560",-0.001054
"561",0.001022
"562",0.0001548
"563",-0.0009108
"564",-0.001095
"565",-0.0009095
"566",0.0009331
"567",-0.0004071
"568",0.002221
"569",0.0005249
"570",0.001804
"571",0.0006382
"572",0.0002259
"573",0.0005763
"574",-0.001023
"575",-0.001081
"576",-0.001119
"577",-0.0003875
"578",0.0004095
"579",-0.0008205
"580",0.0002468
"581",-0.0007172
"582",3.48e-06
"583",0.00084
"584",0.0001699
"585",0.001272
"586",0.001764
"587",0.0007985
"588",0.0007052
"589",-0.0009766
"590",0.0004248
"591",0.0001177
"592",0.0006735
"593",-0.0002203
"594",-0.0007715
"595",-0.0003839
"596",-0.0007276
"597",0.0007579
"598",-0.0008062
"599",-0.0003413
"600",-0.0009746
"601",0.0001637
"602",0.001668
"603",0.0006519
"604",0.00033
"605",0.0006692
"606",0.0004553
"607",-0.0007512
"608",-0.0003757
"609",-0.0003717
"610",-0.001154
"611",-2.622e-05
"612",-0.0001852
"613",-8.433e-05
"614",0.0004167
"615",-0.0009409
"616",-0.0009491
"617",0.0002979
"618",-0.0007926
"619",0.0001219
"620",0.001521
"621",-0.0008124
"622",-0.0007838
"623",-0.0008664
"624",0.000373
"625",-0.001013
"626",-0.0001823
"627",-0.0006875
"628",-0.0008166
"629",-0.0008218
"630",-0.0005745
"631",-0.0007998
"632",-0.0002759
"633",-0.0003336
"634",-0.0008559
"635",0.001545
"636",0.001001
"637",-0.000607
"638",-0.0007004
"639",-0.000904
"640",-0.0004972
"641",0.002406
"642",0.001222
"643",-0.001239
"644",-0.0007033
"645",-0.0009616
"646",0.0004703
"647",0.002072
"648",-3.836e-05
"649",0.001182
"650",-0.000453
"651",-0.0004511
"652",0.0006463
"653",0.0002808
"654",-0.0001606
"655",0.001074
"656",-0.00175
