"","x"
"1",1.229
"2",0.9716
"3",0.8401
"4",0.303
"5",0.1675
"6",0.03392
"7",0.1252
"8",0.2606
"9",0.02702
"10",0.1783
"11",0.2785
"12",0.09655
"13",-0.01651
"14",0.2345
"15",0.1336
"16",0.1328
"17",0.03287
"18",0.1003
"19",0.1061
"20",0.002659
"21",0.06558
"22",0.087
"23",0.07542
"24",-0.01217
"25",0.08387
"26",0.1035
"27",0.04735
"28",0.03718
"29",0.0462
"30",0.04116
"31",0.04779
"32",0.05923
"33",0.06492
"34",0.0331
"35",0.06457
"36",0.09001
"37",0.05082
"38",0.0424
"39",0.02444
"40",0.03234
"41",-0.00392
"42",0.03785
"43",0.04049
"44",0.02815
"45",0.06792
"46",0.03083
"47",0.02013
"48",0.04635
"49",-0.01161
"50",0.05051
"51",0.03905
"52",0.05121
"53",0.06205
"54",0.03393
"55",0.05042
"56",0.04518
"57",0.00746
"58",0.04199
"59",0.01974
"60",0.03263
"61",0.01298
"62",0.01841
"63",0.03263
"64",0.04256
"65",0.02034
"66",0.03954
"67",0.02799
"68",0.04007
"69",0.03904
"70",0.02956
"71",-0.008147
"72",0.02467
"73",0.03115
"74",0.037
"75",0.03278
"76",0.03857
"77",0.03881
"78",0.01015
"79",0.02853
"80",0.03781
"81",0.03686
"82",0.03022
"83",0.02309
"84",0.01553
"85",0.0285
"86",0.005058
"87",0.02034
"88",0.03703
"89",0.02691
"90",0.01467
"91",-0.002862
"92",0.006629
"93",0.009944
"94",-0.0001246
"95",0.02197
"96",0.01594
"97",0.0008803
"98",0.002834
"99",0.02143
"100",0.0112
"101",0.0289
"102",0.02952
"103",0.01891
"104",0.02235
"105",0.01045
"106",0.0265
"107",0.01911
"108",0.021
"109",0.02225
"110",-0.004466
"111",0.02867
"112",0.02246
"113",0.002953
"114",0.03168
"115",0.004502
"116",0.03002
"117",0.01427
"118",0.009466
"119",0.001401
"120",0.007136
"121",0.01078
"122",0.01764
"123",0.01075
"124",0.01519
"125",0.01108
"126",-0.001296
"127",0.007885
"128",0.007274
"129",0.01437
"130",0.009013
"131",0.01491
"132",0.008754
"133",0.01332
"134",0.0119
"135",0.009121
"136",0.02132
"137",0.01262
"138",0.02255
"139",0.01188
"140",0.007665
"141",0.01123
"142",0.01488
"143",0.008333
"144",0.01717
"145",0.0185
"146",0.01911
"147",0.02007
"148",0.01824
"149",0.0104
"150",0.01864
"151",0.01419
"152",0.01672
"153",0.01443
"154",0.01248
"155",0.01914
"156",0.01385
"157",0.008818
"158",0.009589
"159",0.01476
"160",0.005278
"161",0.01774
"162",0.003281
"163",0.0116
