"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",-0.03547,0.02581,-0.08409,-0.05331,-0.0361,-0.01801,0.01652,1.002,1700
"deviance",6743,33.42,6678,6720,6742,6764,6810,1.001,3000
"sigma",0.2519,0.01582,0.2203,0.2411,0.2518,0.2625,0.284,1.001,3000
