"","b1","b2"
"1",-0.0002126,-0.005149
"2",0.001294,-0.02126
"3",-0.001176,0.001046
"4",0.0008334,-0.006659
"5",0.001256,-0.006673
"6",0.0001949,-0.0164
"7",-2.492e-05,-0.0002266
"8",0.0001619,0.001364
"9",0.0002781,7.636e-05
"10",0.0004328,-0.00777
"11",0.0005667,0.006426
"12",-0.0008822,0.00477
"13",-0.0002661,0.01339
"14",0.0002534,0.001466
"15",0.0003833,-0.002103
"16",0.0003022,-0.01292
"17",-8.069e-05,8.56e-05
"18",0.0004773,0.000708
"19",-0.0006339,-0.004389
"20",-0.001094,0.0003994
"21",0.0002127,-0.0238
"22",0.000507,-0.0008287
"23",-0.0006086,-0.004066
"24",-0.0001122,-0.0001789
"25",0.001049,0.001867
"26",0.0002254,0.02414
"27",0.0001985,0.000158
"28",-0.0007658,-0.01182
"29",-0.001063,-0.01767
"30",-0.0005324,0.01042
"31",0.0005142,0.01012
"32",0.0003106,0.03472
"33",-0.0002961,0.01193
"34",-9.758e-05,0.0004526
