"","b1","b2"
"1",-0.0002706,0.001325
"2",-0.0004798,-0.0009196
"3",-0.000509,0.009929
"4",-0.0004041,0.0002541
"5",-0.0006255,-0.00711
"6",-0.0003103,-0.0008303
"7",0.0003129,4.988e-05
"8",-0.0001174,0.004321
"9",0.0003599,-0.01657
"10",-0.000383,-0.01104
"11",-0.0002556,0.0009867
"12",-4.606e-05,0.0001062
"13",-3.275e-05,0.001203
"14",0.0003773,4.38e-06
"15",0.0009916,-0.01405
"16",0.0008476,-0.006269
"17",0.0005757,-0.01578
"18",4.137e-05,-0.001408
"19",0.0006184,-0.005966
"20",-8.779e-05,0.006559
"21",-0.000275,0.00589
