"","b1","b2"
"1",0.009549,0.0006829
"2",-0.0002801,0.001464
"3",0.00687,0.003861
"4",-0.001444,0.002176
"5",0.006359,-0.0001551
"6",0.0192,0.009928
"7",0.003961,0.01067
"8",-0.004978,0.0059
"9",0.02633,0.008913
"10",-0.02073,0.01067
"11",-0.01348,0.00399
"12",-0.0008627,0.006815
"13",-0.000207,-0.01057
"14",-0.002378,-0.002019
"15",0.00847,0.002234
"16",-0.008934,-0.005377
"17",-0.0009488,-0.004471
"18",-0.00853,-0.01112
"19",-0.007318,-0.004236
"20",-0.002518,-0.01065
"21",-0.007258,-0.01702
"22",-0.004246,-0.008335
"23",-0.01454,-0.01152
"24",0.002169,-0.004265
"25",-0.01377,-0.001515
"26",3.404e-05,0.005541
"27",0.0005277,-0.00843
"28",0.001874,-0.003575
"29",-0.006452,0.004648
"30",-0.005877,-0.002543
"31",-0.01648,-0.007697
"32",-0.00247,-0.008816
"33",0.0002819,-0.004312
"34",0.0166,0.006566
"35",-0.006286,-0.01161
"36",-0.001892,-0.01085
"37",-0.002597,0.002716
"38",-0.006018,-0.008997
"39",-0.01076,-0.01125
"40",0.001052,-0.004592
"41",-0.02093,-0.0003058
"42",-0.004501,-0.008458
"43",-0.02206,-0.001552
"44",0.007313,0.002919
"45",-0.00274,-0.01236
"46",-0.003523,0.0005797
"47",-0.002144,-0.004731
"48",-0.006955,-0.003954
"49",-0.007946,0.002355
"50",-0.002141,-0.005727
"51",-0.001232,-0.008869
"52",0.005805,-0.00458
"53",-0.0007883,0.001236
"54",0.000461,-0.007582
"55",0.1052,0.00602
"56",-5.484e-05,-0.01141
"57",-0.0118,-0.001684
"58",-0.0007107,-0.002172
"59",0.00777,0.003918
"60",0.0065,0.01141
"61",0.004211,0.002845
"62",-0.002838,0.003063
"63",-0.01405,-0.002677
"64",-0.01674,0.001637
"65",-0.008585,0.002439
"66",-0.006511,-0.0003656
"67",-0.005711,0.00578
"68",-0.006245,0.001488
"69",-0.001078,-0.005962
"70",0.005562,0.003949
"71",-0.002588,-0.00563
"72",-0.01552,0.002779
"73",-0.002486,-0.00392
"74",-0.008012,0.001794
"75",-0.007736,-0.003632
"76",-0.01095,-0.002421
"77",-0.0007191,-0.01228
"78",-0.007691,8.594e-05
"79",-0.0001028,-0.01158
"80",-0.001863,-0.004017
"81",-0.002857,-0.01152
"82",-0.0001746,-0.006209
"83",-0.006511,-0.003879
"84",-0.00294,-0.01421
"85",-0.000949,-0.003658
"86",0.002463,0.007903
"87",0.0004364,-0.01248
"88",-0.001285,0.0009871
"89",0.0472,0.008332
"90",0.01264,0.01597
"91",-0.003962,-0.008831
"92",-0.003965,-0.00573
"93",0.001013,-0.004702
"94",-0.007227,0.003673
"95",-0.001278,-0.01481
"96",0.0004071,0.01451
"97",-0.002186,0.02136
"98",-0.03258,0.0065
"99",0.0291,0.01192
"100",-0.02151,-0.0001947
"101",-0.004329,0.0004422
"102",0.0008452,0.01028
"103",-0.007405,0.003134
"104",-0.001192,0.0006255
"105",-0.003674,-0.003705
"106",0.02448,0.02067
"107",-0.004799,-0.001292
"108",-0.0007927,-0.01389
"109",0.02633,0.00554
"110",-0.006911,-0.003529
"111",-0.004865,-0.008272
"112",-0.001303,-0.007193
"113",-0.0007597,0.0007015
"114",-0.01189,-0.001007
"115",-0.0001159,-0.0004139
"116",-0.007513,-0.005849
"117",-0.01025,-0.007352
"118",-0.001553,-0.005302
"119",0.009493,0.00321
"120",-0.0006142,-0.01063
"121",0.01176,0.007005
"122",-0.01678,-0.000116
"123",0.02047,-0.00092
"124",0.06452,0.01644
"125",0.05036,0.007645
"126",0.09832,0.01412
"127",-0.007265,-0.001668
"128",-0.04103,0.0004042
"129",-0.005456,-0.000543
"130",-0.0002624,-0.003038
"131",-0.005484,-0.004817
"132",-0.001868,-0.008768
"133",-0.002969,0.001601
"134",0.005032,0.00291
"135",-0.006967,-0.000559
"136",-0.002687,0.0008748
"137",-0.001514,0.0003342
"138",-0.0008183,-0.007971
"139",-0.007134,-0.004039
"140",-0.004208,-0.00437
"141",0.0002062,0.005153
"142",-0.01511,-0.002782
"143",-0.000104,-0.01398
"144",-0.001054,-0.005893
"145",-0.002862,-0.01373
"146",0.02354,0.01002
"147",-0.01605,-0.0005037
"148",-0.003282,0.002287
"149",-0.007848,-0.01147
"150",-0.01431,-0.002493
"151",0.0004442,-0.02289
"152",-0.005358,-0.00945
"153",0.000668,0.0001531
"154",-0.0001998,0.002816
"155",8.642e-06,-0.02038
"156",0.008929,0.002905
"157",0.05435,0.006182
"158",-0.005999,-0.003537
"159",-0.004987,-0.002888
"160",-0.003007,-0.00391
"161",-0.005986,0.004856
"162",-0.002981,0.0116
"163",0.0005164,0.002282
"164",0.008445,0.005208
"165",-0.02895,-0.001276
"166",0.02232,0.007919
"167",-0.0006174,-0.0007635
"168",0.001586,0.001789
"169",-0.01439,0.002119
"170",-0.0008831,0.0001076
"171",-0.0009921,0.007879
"172",0.0001193,-0.01111
"173",0.002643,-0.0001587
