"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",-0.00084265888267933,0.0316630579552851,-0.0620239434985799,-0.0221111253023978,-0.00162991225915332,0.0207500005831869,0.0612605821263024,1.00156125131583,1900
"b1[2]",0.111410116197339,0.0306188818328719,0.0526954186631595,0.0904872905663601,0.111746342288389,0.131456848455158,0.170559757885219,1.00176798445049,1600
"b1[3]",0.0623910058709441,0.0308269854368418,0.000988650238656057,0.0412278346686573,0.0629193918917528,0.082492987312074,0.124964349000525,1.00232557121409,1100
"b1[4]",0.288947262956861,0.0295343233388881,0.231104088029106,0.268891744567807,0.288725606365118,0.308712879087047,0.346733798272034,1.00352350662764,670
"b1[5]",1.8273369275737,0.0310578100562715,1.80131809549686,1.81859253605256,1.82783655953044,1.83772350742481,1.8561266473916,1.00070536995501,3200
"b1[6]",0.490206070649664,0.0289692262119246,0.435124789071394,0.470603184181834,0.490433702164107,0.510058871092209,0.545502425060326,1.00100738063633,3200
"b1[7]",0.880732613722162,0.0276964695879468,0.832034072116719,0.863954791806281,0.881023440632369,0.897910698653446,0.929904387850093,1.00058401254609,3200
"b1[8]",0.222846979553833,0.0287727586949953,0.167507414727195,0.203722565148603,0.222688301534158,0.241803761471923,0.279775979334369,1.00057256660552,3200
"b1[9]",0.0130705545077849,0.0314397930230827,-0.0471638960152023,-0.00822484299860099,0.0131859561626085,0.0350541063216677,0.0759724438992869,1.00074858494699,3200
"b1[10]",0.0533257252140192,0.0307631614645395,-0.00669129118538946,0.0321725393028948,0.0536105598137779,0.0744468311081581,0.111839498230785,1.00184956211412,1500
"b1[11]",0.0812946521694179,0.0314612957691509,0.0184532758811485,0.0608693094890702,0.0816908142580829,0.102339401327236,0.14199672387983,1.00056979139142,3200
"b1[12]",-0.000804221161281578,0.0320809723275649,-0.0645409188351537,-0.0219961112931854,-0.000858878360966746,0.0207575081004859,0.0606589950080332,1.00072521316754,3200
"b1[13]",0.0760464663974203,0.030735048639071,0.0146619467423173,0.0556774482096313,0.0755901723413018,0.0970946342364002,0.135765602252097,1.00094495439252,3200
