"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0.0494672092527701,0.0303267972719318,-0.00852448037483618,0.0288074681270612,0.0494774274412124,0.069831353180444,0.106588383149879,1.00182512546445,1500
"b1[2]",0.000255538175949256,0.0318052375327805,-0.0634178235664665,-0.0214282465839086,0.000580935258203382,0.0214920273518478,0.0632122137277784,1.00089360301,3200
"b1[3]",0.0351059496687468,0.0311808098004876,-0.0267052822874664,0.0137669422518401,0.0351795613808085,0.0566429820462201,0.0951765982315776,1.00070884110477,3200
"b1[4]",-0.000256882818349052,0.0316993946629822,-0.062281022602621,-0.0215931390285055,-0.0010346493757385,0.0212807395791407,0.0613822419536712,1.00151963833013,2000
"b1[5]",0.0386758199888393,0.0304232477606968,-0.0196934086557989,0.0176187280877943,0.0388365581871008,0.0591275640800192,0.098303326261344,1.00131240961831,2600
"b1[6]",0.090618827637301,0.029462746465867,0.0333242051844112,0.0706464390835158,0.0907342956225098,0.10986075943399,0.148545480943282,1.00163631274054,1800
"b1[7]",0.0855634127121749,0.0299299745851282,0.0289676228084118,0.0647571504542148,0.0854665845189238,0.105805322097562,0.143957401645911,1.00140493450649,2300
"b1[8]",-0.00344307438621396,0.0308505881359727,-0.0645058891833325,-0.024126138472652,-0.0037425732948924,0.017519561865449,0.0571596510745222,1.00073885639666,3200
"b1[9]",0.0814047856516686,0.0297419780971075,0.0238023556043182,0.0608723266932847,0.0821485948668071,0.101582146211313,0.138907746508381,1.00071790289217,3200
"b1[10]",-0.000255417515233845,0.0315636610453232,-0.0627975195683381,-0.0216244784730976,-0.000675604919524709,0.0211822015161534,0.0596936046183976,1.00096135875942,3200
"b1[11]",0.00894265222762089,0.0311273593840235,-0.0509913682581739,-0.0118947204504324,0.00846806212088071,0.029772623476378,0.0698462115120855,1.00087126697991,3200
"b1[12]",0.00082870871183365,0.0313666560584508,-0.0611361707261678,-0.0204232453251582,0.000899834520426376,0.0214756227104288,0.0634639089518189,1.00086472204576,3200
"b1[13]",0.00112781322726961,0.0325327774379006,-0.0614719370827604,-0.0207383097032367,0.000974562939876784,0.022906475890796,0.06610116152092,1.00100230568697,3200
"b1[14]",-0.000997787040742196,0.0315546905336861,-0.0620854988845086,-0.0218862444367782,-0.00115162309787019,0.020782321618495,0.0622233543226625,1.00154474130796,2000
"b1[15]",0.0499732757309931,0.0304157775076316,-0.0108215821101101,0.0293956783389424,0.0501994450840001,0.0704266974704281,0.109122757324536,1.00079868364304,3200
"b1[16]",0.00154952590996283,0.0317302373051592,-0.0605072050885734,-0.0195906684557974,0.000850795793444373,0.0234983087306579,0.0638051560279425,1.0009527087795,3200
"b1[17]",0.00179508522648527,0.0311946913713724,-0.0590123170996437,-0.0187486168420593,0.00151145104545148,0.0229440348978245,0.0626198477478301,1.00180545214935,1600
"b1[18]",0.0162173142161661,0.0310373743418555,-0.0432088685808631,-0.00510051934350141,0.0163610941327055,0.0378339515083966,0.0766581148808144,1.00240981156942,1100
"b1[19]",0.0103754183858337,0.0311260879519301,-0.0487451136515466,-0.0111144221946881,0.0105665964369872,0.0315839464142082,0.070217313386427,1.00078070625009,3200
