"","b1","b2"
"1",-0.02762,-0.02084
"2",9.07e-06,-0.01761
"3",-0.01069,-0.01325
"4",-0.003535,-0.02677
"5",-0.02209,-0.02188
"6",-0.03069,-0.01984
"7",-0.08321,-0.008983
"8",-0.007474,-0.02427
"9",-0.03716,-0.01212
"10",-0.004613,-0.0234
"11",-0.00207,-0.02254
"12",-0.01106,-0.0198
"13",-0.006597,-0.01644
"14",0.01283,0.007418
"15",0.004337,0.02105
"16",0.02868,0.02291
"17",-0.03204,0.005046
"18",0.06542,0.008728
"19",0.0376,0.003961
"20",0.07513,0.009051
"21",-0.007681,0.01348
"22",-0.0769,0.009754
"23",-0.005661,0.008467
"24",0.02311,0.006598
"25",0.001613,0.01081
"26",0.1558,0.00827
"27",-0.003867,-0.01005
"28",-0.0006179,-0.02199
"29",-0.009217,-0.02342
"30",-0.006125,-0.02097
"31",-0.004352,-0.01756
"32",-0.05895,0.0006725
"33",0.005003,0.003927
"34",0.02952,0.009144
"35",0.003922,-0.008312
"36",-0.01667,0.0004328
"37",-0.007034,-0.006714
"38",0.01168,0.006569
"39",-0.02089,-0.02043
"40",-0.09095,-0.009272
"41",-0.001202,-0.009389
"42",-0.05827,-0.0006864
"43",0.01391,-0.0003821
"44",0.1038,0.001339
"45",0.02699,0.008982
"46",0.0004772,0.004924
"47",0.03692,0.00857
"48",-0.001875,-0.02495
"49",-0.0163,-0.01574
"50",0.006399,-0.0002891
"51",0.01389,0.01545
"52",-0.006933,0.01494
"53",0.05089,-0.0034
"54",-0.001204,-0.03573
"55",-0.001149,-0.02544
"56",-0.0505,-0.005277
"57",-0.004583,-0.01802
"58",-0.0324,-0.00945
"59",-0.006299,-0.02091
"60",-0.008454,-0.01478
"61",-0.003406,-0.02624
"62",-0.02539,-0.01414
"63",0.04546,0.005667
"64",0.006554,0.01403
"65",0.158,0.009441
"66",-0.01412,0.008057
"67",-0.03004,0.01879
"68",-0.05161,-0.005831
"69",0.01694,0.00788
"70",-0.032,-0.01108
"71",-0.03039,-0.008155
"72",-0.009716,-0.01873
"73",-0.0529,-0.001291
"74",0.02154,-0.003625
"75",0.0169,0.006465
"76",0.07449,0.004837
"77",-5.951e-05,0.008343
"78",-0.01506,0.01573
"79",-0.02008,-0.01947
"80",-0.00128,-0.02442
"81",-0.006846,-0.02015
"82",-0.01572,-0.00862
"83",-0.002861,-0.02135
"84",-0.04315,-0.01411
"85",0.01163,-0.0134
"86",-0.001646,-0.009693
"87",-0.0706,-0.00548
"88",-0.005021,-0.01245
"89",-0.0669,0.0006441
"90",0.03994,0.01853
"91",0.05882,0.01642
"92",-0.01052,0.01749
"93",-0.06194,0.0002812
"94",-0.002876,-0.02573
"95",-0.0007067,-0.01632
"96",-0.0003375,-0.02128
"97",-0.007933,0.008798
"98",0.002056,-0.001195
"99",-0.02615,-0.0002629
"100",0.04002,0.01849
"101",-0.0008252,-0.01614
"102",0.08531,0.007966
"103",-2.224e-05,0.001563
"104",0.05889,0.01057
"105",-0.003473,-0.02845
"106",-0.02787,-0.01791
"107",-0.003211,-0.02572
"108",-0.01451,-0.004289
"109",0.0004674,0.003241
"110",-0.06545,0.004258
"111",-0.02145,-0.0158
"112",0.001495,0.01147
"113",0.007826,0.008306
"114",-0.001239,-0.01423
"115",-0.02935,-0.006402
"116",0.0127,0.00959
"117",-0.002387,0.003013
"118",0.05545,0.02532
"119",0.01122,0.01227
"120",-0.08359,-0.004322
"121",-0.07074,-0.002966
"122",-0.01504,-0.001158
"123",-0.006282,-0.02031
"124",-0.04817,-0.01446
"125",-0.00589,-0.02353
"126",-0.02066,0.00418
"127",0.02584,0.003846
"128",0.001113,0.01572
"129",0.06152,0.0087
"130",0.00881,0.00857
"131",-0.02409,0.003669
"132",-0.006449,-0.0149
"133",-0.0456,-0.01141
"134",-0.02796,-0.01039
"135",-0.02092,-0.01108
"136",-0.002105,-0.007839
"137",-0.01875,0.02249
"138",-0.01785,-0.0195
"139",-0.003729,-0.01491
"140",0.1049,0.005296
"141",0.001132,0.007488
"142",0.04912,0.01042
"143",-0.0304,-0.0193
"144",-0.01202,-0.009449
"145",0.1196,0.01052
"146",0.009881,0.01015
"147",-0.01183,0.006087
"148",0.06137,0.008524
"149",-0.002081,-0.0185
"150",-0.00414,-0.02139
"151",-0.003222,-0.03169
"152",-0.06189,0.00768
"153",0.1032,0.006624
"154",0.002018,-0.002506
"155",-0.011,-0.01421
"156",4.573e-05,-0.01839
"157",0.01225,0.006617
"158",-0.009353,-0.005992
"159",0.03248,0.01255
"160",-0.0108,0.002987
"161",0.09548,0.004877
"162",0.01882,0.007847
"163",-0.006318,-0.01641
"164",-0.03801,-0.01359
"165",-0.0149,-0.01827
"166",0.07621,0.006359
"167",-0.002549,-0.003836
"168",-0.006016,-0.005139
"169",-0.01784,0.0004992
"170",-0.007093,-0.01695
"171",-4.964e-05,-0.007191
"172",0.004201,-0.01689
"173",-0.001773,-0.02305
"174",-0.0002877,-0.01445
