"","b1","b2"
"1",-0.001343,-0.03771
"2",-0.005974,-0.01672
"3",-0.06733,-0.01178
"4",-0.0024,-0.02456
"5",-0.04209,-0.009074
"6",0.2504,-0.01722
"7",-0.05473,-0.003722
"8",-0.004307,-0.02024
"9",-0.0006521,-0.02585
"10",-0.01509,-0.07243
"11",-0.0005119,-0.0308
"12",-0.00223,-0.03953
"13",-0.00648,-0.01952
"14",-0.0005232,-0.03373
"15",-0.001966,-0.005748
"16",-0.001049,-0.03283
"17",-0.003047,-0.003824
"18",-0.03328,-0.04364
"19",-0.01857,-0.02046
"20",-0.01929,-0.03167
"21",-0.0007957,-0.01867
"22",-0.01236,0.001306
"23",-0.03584,0.001186
"24",-0.0001012,-0.01041
"25",-0.01229,-0.0317
"26",0.1214,0.01284
"27",-0.02567,-0.01322
