"","x"
"1",0.2406
"2",0.4341
"3",0.1069
"4",-0.06303
"5",0.005706
"6",0.07594
"7",0.08605
"8",0.01734
"9",0.06545
"10",0.05097
"11",0.02492
"12",0.06983
"13",0.07259
"14",0.06665
"15",0.08323
"16",0.08229
"17",0.01613
"18",0.04783
"19",7.852e-05
"20",0.02576
"21",0.03236
"22",0.02546
"23",0.02118
"24",-0.02217
"25",-0.0003982
"26",0.02543
"27",0.006675
"28",0.02058
"29",0.03126
"30",0.01595
"31",0.0318
"32",0.02827
"33",0.0132
"34",0.03205
"35",0.006565
"36",-0.01114
"37",-0.01138
"38",0.02556
"39",0.02271
"40",-0.00029
"41",0.007832
"42",0.01706
"43",0.0002756
"44",-0.005222
"45",-0.008139
"46",0.01041
"47",0.02381
"48",0.02402
"49",0.01187
"50",0.006048
"51",0.007829
"52",0.002985
"53",0.01806
"54",-0.001172
"55",0.008933
"56",0.01496
"57",0.01431
"58",0.0166
"59",-0.001399
"60",0.01801
"61",-0.002597
"62",0.01042
"63",0.01851
"64",0.01353
"65",0.01044
"66",0.004601
"67",-0.005371
"68",0.01157
"69",0.007005
"70",0.00539
"71",0.008892
"72",0.0125
"73",0.01274
"74",0.01561
"75",0.0101
"76",0.01568
"77",-0.003399
"78",-0.002064
"79",0.005071
"80",0.01471
"81",0.01146
"82",0.003497
"83",0.003865
"84",0.009369
"85",0.006815
"86",0.007079
"87",0.01173
"88",0.002529
"89",0.007548
"90",0.007696
"91",0.007578
"92",0.00462
"93",0.0173
"94",0.007973
"95",0.002989
"96",0.01309
"97",0.007519
"98",0.007499
"99",0.003471
"100",-0.01179
"101",0.003172
"102",0.005967
"103",0.009136
"104",0.005677
"105",0.002457
"106",-0.004057
"107",0.008076
"108",0.007569
"109",0.006924
"110",0.01382
"111",0.005039
"112",0.008941
"113",0.003281
"114",0.006854
"115",0.001016
"116",0.005261
"117",0.0104
"118",0.001856
"119",-0.0002605
"120",0.001287
"121",-0.0005561
"122",0.002494
"123",0.007469
"124",0.00613
"125",0.004775
"126",0.003688
"127",0.0049
"128",0.003009
"129",0.002443
"130",0.004354
"131",0.0005698
"132",0.002699
"133",0.003472
"134",0.002972
"135",0.002025
"136",0.001024
"137",0.00871
"138",-0.0002186
"139",0.0045
"140",0.003252
"141",-0.0005319
"142",0.003561
"143",-0.002873
"144",0.005447
"145",0.005472
"146",0.00535
"147",0.0008528
"148",0.006404
"149",0.002031
"150",0.006639
"151",0.0004197
"152",0.004121
"153",0.005243
"154",0.001809
"155",0.003427
"156",0.005755
"157",-0.001424
"158",0.005551
"159",0.000878
"160",0.004997
"161",0.003266
"162",0.001276
"163",0.004545
"164",0.0007958
"165",0.003972
"166",-0.001534
"167",-0.001387
"168",0.005554
"169",0.008262
"170",0.01151
"171",0.0005546
"172",0.003375
"173",-7.612e-05
"174",-0.001001
"175",-0.003835
"176",0.004503
"177",0.005626
"178",0.002367
"179",0.003793
"180",0.0002768
"181",0.002089
"182",0.00424
"183",0.00343
"184",-0.0007233
"185",0.001439
"186",0.000423
"187",0.004225
"188",-0.000882
"189",0.00543
"190",0.005797
"191",0.003074
"192",0.004133
"193",0.002602
"194",0.004794
"195",0.0006934
"196",0.002857
"197",0.001739
"198",0.003553
"199",0.001827
"200",0.003231
"201",8.277e-05
"202",0.004397
"203",0.004199
"204",0.002758
"205",0.00573
"206",0.001967
"207",0.003487
"208",0.004198
"209",0.00168
"210",0.00232
"211",0.001474
"212",0.001012
"213",0.0006016
"214",0.004094
"215",0.002533
"216",0.001315
"217",0.004083
"218",0.003011
"219",0.002598
"220",0.006314
"221",0.002306
"222",0.001931
"223",0.00278
"224",0.003114
"225",0.002968
"226",0.000746
"227",0.002228
"228",0.001232
"229",0.003269
"230",0.00598
"231",0.00188
"232",0.003534
"233",0.002492
"234",0.002376
"235",0.004986
"236",0.003631
"237",0.004279
"238",0.003653
"239",0.0009477
"240",0.0007883
"241",0.000512
"242",0.0002757
"243",0.003351
"244",0.002739
"245",0.004655
"246",0.003356
"247",-7.443e-05
"248",0.003259
"249",0.004095
"250",0.001972
"251",0.002939
"252",0.004433
"253",-0.000105
"254",-0.0003282
"255",0.001061
