"","b1","b2"
"1",-0.05507,-0.03098
"2",-0.006572,-0.02558
"3",-0.1447,-0.015
"4",-0.05744,-0.03647
"5",0.3821,0.00518
"6",0.17,0.00422
"7",-8.377e-05,0.005593
"8",0.3145,0.01332
"9",-0.07797,-0.006939
"10",-0.00248,-0.004315
"11",-0.01452,-0.01778
"12",-0.002253,-0.031
"13",-0.05257,-0.03273
"14",-0.001944,-0.05044
"15",-0.01223,-0.07691
"16",0.00599,-0.01146
"17",-0.004421,-0.06256
"18",-0.06607,-0.03766
"19",-0.000686,-0.03652
"20",0.02082,-0.004861
"21",-0.004992,-0.005266
"22",0.06336,0.01361
"23",0.01182,-0.0003203
"24",0.02639,0.003354
"25",-0.04886,-0.00953
"26",0.007531,0.005241
"27",-0.05098,-0.009962
"28",-0.05015,-0.02533
"29",-0.008027,-0.05237
"30",-0.01883,-0.03621
"31",-0.1618,-0.0023
"32",-0.1245,-0.008866
"33",-0.02415,-0.04933
"34",-0.006169,-0.03296
"35",-0.001119,-0.03108
