"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1[1]",0.025091178727566,0.0302544955396766,-0.0319368384578358,0.00419703363383796,0.0250608102592378,0.0454920128173329,0.0853450014195848,1.00141290998999,2300
"b1[2]",0.0658414660985729,0.0301867508212322,0.00778021982820174,0.0454211086699862,0.0659633350166059,0.086018102272288,0.127677406300743,1.00122737813984,2900
"b1[3]",-0.000322247055615893,0.0317394248946075,-0.0621161832223313,-0.0211964237418917,0.000154897512206519,0.0209318923223509,0.0608201601037461,1.00129162850625,2600
"b1[4]",0.00195125319621344,0.0310481174416581,-0.0596286487287267,-0.0185822711050264,0.00141967241755726,0.0230526643882363,0.0633906487972457,1.0005489477451,3200
"b1[5]",0.00239280931986076,0.0315692386997742,-0.0603600387958045,-0.0187851311404722,0.00312722976274247,0.0243138145872763,0.0621142020679472,1.00104193068006,3200
"b1[6]",0.00331535018230294,0.0311564295253922,-0.0584082162755045,-0.0180890897401156,0.00345219817055446,0.0240031513583373,0.0645772220848073,1.00156174291219,1900
"b1[7]",-0.000906714177500407,0.0319014155412618,-0.063475771631034,-0.0220265669121711,-0.00111267447422585,0.0206689950616119,0.0616753736089873,1.00170904110426,1700
"b1[8]",0.000222100917294567,0.0318052409577155,-0.063783820246684,-0.0206616157734828,0.000328714856790325,0.022307872796637,0.0612278507523658,1.00086530045597,3200
"b1[9]",-4.38876610880926e-05,0.031762342469853,-0.061001842091576,-0.0218326754073786,-1.27084154821324e-05,0.0216341296768995,0.0617333620613797,1.00099902327088,3200
"b1[10]",0.000845938289796415,0.0316418262602441,-0.062019484899748,-0.0204492682976808,0.000889602285781495,0.0221115351966578,0.0604751681959099,1.00099965101048,3200
"b1[11]",0.0025300074750043,0.0317758288037884,-0.0599212534331626,-0.0185497505252512,0.00211710171407,0.0237450816632098,0.0651227865517961,1.00135537646608,2900
"b1[12]",0.00104567901246757,0.0314193181588412,-0.0591633792784152,-0.0205509087744284,0.000886206561162172,0.0215167542259562,0.0618551079628824,1.00075995545373,3200
