"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",-0.0002796,0.02239,-0.04331,-0.01563,-0.0005324,0.01537,0.04268,1.001,3000
"deviance",18030,26.37,17980,18010,18030,18050,18080,1.002,1100
"sigma",0.08125,0.009,0.06418,0.07495,0.0809,0.08717,0.09964,1.001,3000
