"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",0.004313,0.02335,-0.04183,-0.01171,0.004744,0.02083,0.04862,1.001,3000
"deviance",205000,45.11,204900,205000,205000,205100,205100,1.001,2600
"sigma",0.2057,0.01455,0.1781,0.1955,0.2054,0.2155,0.2345,1.001,3000
