"","b1","b2"
"1",-0.0088,-0.01372
"2",-0.003651,-0.008346
"3",-0.0004699,-0.02214
"4",0.0006896,-0.01014
"5",-0.002629,-0.0171
"6",-0.005644,-0.01425
"7",-0.002527,-0.01952
"8",-2.261e-05,-0.01463
"9",-0.001981,-0.01751
"10",-0.003447,-0.01352
"11",-0.0131,-0.01069
"12",-0.0003954,-0.00744
"13",-0.01231,0.003778
"14",-0.002031,-0.007383
"15",-0.004377,-0.00794
"16",0.04987,0.005927
"17",-0.001187,-0.01195
"18",-0.02417,-0.007028
"19",0.01265,-0.005353
"20",-0.0001578,-0.0007825
"21",0.009433,-0.01134
"22",-0.009649,-0.003644
"23",-0.00802,-0.01694
"24",-0.00243,-0.01206
"25",-0.00597,-0.008955
"26",-0.01255,0.003165
"27",-0.01809,-0.004958
"28",-0.003119,0.003521
"29",-0.005767,-0.01487
"30",0.02821,0.008387
"31",0.05975,0.01579
"32",-0.004648,0.005401
"33",-0.0001598,0.01129
"34",0.0001901,-0.00811
