"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b3",-0.02556,0.02725,-0.07768,-0.04419,-0.02546,-0.007007,0.02808,1.001,3000
"deviance",45400,31.35,45340,45380,45400,45420,45460,1.001,3000
"sigma",0.1622,0.01265,0.1384,0.1536,0.1621,0.1706,0.1878,1.001,3000
