"","b1","b2"
"1",-0.01751,-0.002199
"2",-0.00646,-0.007793
"3",-0.0004842,-0.009154
"4",0.005211,-0.005276
"5",-0.01739,-0.008108
"6",-0.0137,0.01354
"7",-0.03085,-0.001768
"8",-0.005491,-0.003396
"9",-0.0001969,-0.007223
"10",-0.004524,-0.008905
"11",-0.01744,-0.008004
"12",-0.009038,-0.01193
"13",-0.004411,-0.007445
"14",-0.03195,0.001056
"15",-0.001244,0.005606
"16",-0.01189,0.01215
"17",0.01764,0.01188
"18",0.03,0.007484
"19",0.01658,0.00992
"20",0.03021,0.01146
"21",-0.02138,0.001838
"22",-0.01233,-0.0008986
"23",-0.0006385,-0.01048
"24",-0.01238,-0.01034
"25",-0.0009526,-0.01552
"26",0.01597,0.009538
"27",-0.007628,-0.01413
"28",-0.001444,-0.02323
"29",-0.005783,0.0159
"30",-0.0003591,-0.02161
"31",-0.001977,-0.02812
"32",-0.0004478,-0.01775
"33",-0.00157,-0.005445
"34",0.0236,0.001344
"35",-0.00329,-0.01217
"36",-0.00912,-0.01903
"37",0.00151,0.01473
"38",-0.004197,-0.01437
"39",-0.003458,-0.02041
"40",0.09506,0.004182
"41",-0.02427,0.01362
"42",0.01601,0.005584
"43",-0.008848,0.0009199
"44",0.0001055,-0.01512
"45",0.0005978,-0.01221
"46",-0.02115,0.002346
"47",-0.001025,-0.01314
"48",-0.001376,-0.0141
"49",-0.0006675,0.0002954
"50",-0.001854,-0.003219
"51",0.02112,0.01668
"52",-0.01282,-0.01071
"53",0.04871,0.01693
"54",-0.02231,-0.005425
"55",0.02945,0.004931
"56",-0.02789,0.0008745
"57",-0.007831,-0.007877
"58",-0.05779,0.001768
"59",-0.01697,-0.006121
"60",-0.002154,-0.01106
"61",-0.0405,0.003517
"62",0.0005648,-0.01642
"63",-0.02246,-0.01069
"64",-0.006526,-0.004906
"65",-0.02203,0.007134
"66",-0.01301,-3.251e-05
"67",0.001197,0.008621
"68",-0.004132,-0.01098
"69",-0.01623,-0.01234
"70",-0.00908,-0.007108
"71",-0.04929,0.0003507
"72",-0.006397,0.003376
"73",-0.007232,0.003231
"74",-0.001726,-0.02038
"75",-0.0002425,-0.01545
"76",-0.09042,0.0004497
"77",-0.02305,0.00454
"78",-0.05972,-0.008139
"79",-7.799e-06,0.003108
"80",0.144,0.01031
"81",0.03607,0.01333
"82",-0.02279,0.001904
"83",-0.001891,-0.005505
"84",-0.007557,-7.042e-05
"85",-0.01212,-0.00927
"86",-0.01135,-0.004609
"87",-0.0003136,-0.03427
"88",0.005204,0.02861
"89",-0.03323,0.006847
"90",-0.001466,-0.02166
"91",-0.0127,-0.008292
"92",-0.0009295,-0.02123
"93",0.0313,0.01466
"94",0.07675,0.005073
"95",-0.0632,0.00529
"96",-0.04375,-0.0078
"97",0.006271,-0.002844
"98",-0.002438,0.003877
"99",-0.03167,-0.001433
"100",-0.01056,-0.008505
"101",-0.01015,-0.01931
"102",-0.1014,0.0002379
"103",-0.00101,-0.01755
"104",0.09436,0.01736
"105",0.1486,0.008726
"106",0.00622,-0.002229
"107",-0.02216,0.00376
"108",-0.00496,-0.01365
"109",-0.002218,-0.006525
"110",-0.001834,-0.006217
"111",-0.0006358,-0.009963
"112",-0.0006535,-0.02046
"113",-0.002814,-0.01048
"114",-1.758e-05,0.002947
"115",0.05499,0.008435
"116",-0.0006077,0.02496
"117",-0.006972,0.00851
"118",0.02453,0.01275
"119",-0.009965,0.01006
"120",-0.01979,-0.007267
"121",0.1001,0.01413
"122",-0.01239,-0.007804
"123",0.2383,0.009693
"124",0.02902,0.003478
"125",-0.008156,-0.009117
"126",-0.01715,-0.005662
"127",0.001481,0.01052
"128",0.07108,0.01092
"129",-0.008117,0.004228
"130",-0.01922,0.001135
"131",-0.00359,-0.003133
"132",-0.0301,-0.01072
"133",-0.008919,-0.009355
"134",0.07724,0.01207
"135",-0.03062,0.009646
"136",-0.001845,-0.009722
"137",-0.08149,-0.001071
