"","x"
"1",1.814
"2",0.9059
"3",0.5926
"4",0.4288
"5",0.3151
"6",0.3524
"7",0.2398
"8",0.2119
"9",0.22
"10",0.169
"11",0.121
"12",0.1438
"13",0.1295
"14",0.1286
"15",0.1105
"16",0.1151
"17",0.1125
"18",0.05358
"19",0.08194
"20",0.06381
"21",0.06819
"22",0.07789
"23",0.07718
"24",0.06156
"25",0.07783
"26",0.05489
"27",0.0697
"28",0.06939
"29",0.05314
"30",0.05172
"31",0.04244
"32",0.06747
"33",0.05625
"34",0.05184
"35",0.03681
"36",0.03316
"37",0.03635
"38",0.03957
"39",0.04444
"40",0.04672
"41",0.04157
"42",0.0299
"43",0.02016
"44",0.03379
"45",0.04144
"46",0.02824
"47",0.03074
"48",0.03199
"49",0.03543
"50",0.03227
"51",0.03035
"52",0.0362
"53",0.03208
"54",0.03232
"55",0.03021
"56",0.03173
"57",0.03169
"58",0.03147
"59",0.03003
"60",0.03555
"61",0.02941
"62",0.0205
"63",0.02792
"64",0.03104
"65",0.02213
"66",0.02516
"67",0.02428
"68",0.02404
"69",0.03647
"70",0.01993
"71",0.02151
"72",0.02348
"73",0.02759
"74",0.024
"75",0.01335
"76",0.02674
"77",0.01571
"78",0.02151
"79",0.01882
"80",0.01346
"81",0.02078
"82",0.02527
"83",0.01136
"84",0.02174
"85",0.002637
"86",0.006965
"87",0.02028
"88",0.01775
"89",0.01789
"90",0.01025
"91",0.006873
"92",0.01303
"93",0.02234
"94",0.01643
"95",0.0151
"96",0.01696
"97",0.02932
"98",0.009394
"99",0.01465
"100",0.009898
"101",0.01232
"102",0.008417
"103",0.01591
"104",0.01522
"105",0.01569
"106",0.01498
"107",0.01794
"108",0.01388
"109",0.01562
"110",0.01072
"111",0.01643
"112",0.01193
"113",0.01335
"114",0.01496
"115",0.01259
"116",0.01459
"117",0.01483
"118",0.01507
"119",0.01488
"120",0.01487
"121",0.01593
"122",0.01318
"123",0.01286
"124",0.0153
"125",0.01223
"126",0.01167
"127",0.01276
"128",0.009759
"129",0.01199
"130",0.01554
"131",0.01251
"132",0.01707
"133",0.0131
"134",0.01138
"135",0.01311
"136",0.01078
"137",0.01304
"138",0.01287
"139",0.01189
"140",0.01643
"141",0.01044
"142",0.01167
"143",0.009598
"144",0.01216
"145",0.01347
"146",0.01109
"147",0.008163
"148",0.01204
"149",0.01103
"150",0.01082
"151",0.01261
"152",-0.00467
"153",0.01231
"154",0.01076
"155",0.01123
"156",0.008643
"157",0.002391
"158",0.01087
"159",0.01041
"160",0.01107
"161",0.0114
"162",0.01113
"163",0.008449
"164",0.008494
"165",0.007774
"166",0.008753
"167",0.007041
"168",0.01195
"169",0.01018
"170",0.01119
"171",0.01045
"172",0.01125
"173",0.007364
"174",0.008761
"175",0.00855
"176",0.01125
"177",0.009696
"178",0.009384
"179",0.006949
"180",0.009693
"181",0.007826
"182",0.008888
"183",0.008874
"184",0.01107
"185",0.006307
"186",0.00369
"187",0.007509
"188",0.00895
"189",-3.137e-05
"190",0.007464
"191",0.009344
"192",0.009807
"193",0.007495
"194",0.008635
"195",0.007788
"196",0.007962
"197",0.01033
"198",0.009808
"199",0.008248
"200",0.009195
"201",0.009721
"202",0.008831
"203",0.0066
"204",0.008918
"205",0.01267
"206",0.002337
"207",0.0004614
"208",0.008167
"209",0.005923
"210",0.007132
"211",0.008396
"212",0.006601
"213",-0.003642
"214",0.01037
"215",0.01114
"216",0.004814
"217",0.007895
"218",0.007981
"219",0.007375
"220",0.01216
"221",0.007974
"222",0.006614
"223",0.007871
"224",0.01209
"225",0.00698
"226",0.007227
"227",0.005947
"228",0.009366
"229",0.008384
"230",0.003226
"231",0.007258
"232",0.002857
"233",0.003118
"234",0.006018
"235",0.007533
"236",0.006556
"237",0.007694
"238",0.006606
"239",0.007653
"240",0.006287
"241",0.006778
"242",0.007353
"243",0.007823
"244",0.007417
"245",0.007193
"246",0.006753
"247",0.007087
"248",0.006497
"249",0.007136
"250",0.008257
"251",0.007206
"252",0.007429
"253",0.006343
"254",0.006903
"255",0.007475
"256",0.006345
"257",0.007434
"258",0.006562
"259",0.006792
"260",0.006585
"261",0.006147
"262",0.005979
"263",0.006298
"264",0.006698
"265",0.004956
"266",0.00684
"267",0.006866
"268",0.00699
"269",0.007045
"270",0.005508
"271",0.006872
"272",0.0049
"273",0.006259
"274",0.003117
"275",0.004927
"276",0.00566
"277",0.006278
"278",0.005695
"279",0.006128
"280",0.005196
"281",0.006162
"282",0.004472
"283",0.006167
"284",0.005959
"285",0.006145
"286",0.006208
"287",0.005176
"288",0.006205
"289",0.002986
"290",0.003998
"291",0.004605
"292",0.00174
"293",0.006273
"294",0.004209
"295",0.003637
"296",0.002759
"297",0.003351
