"","b1","b2"
"1",-0.0002884,-0.0006839
"2",0.000617,-0.01275
"3",-0.0004152,-0.006953
"4",-0.0002383,-0.005243
"5",-0.002932,0.001009
"6",7.932e-05,-0.01176
"7",-0.0007589,-0.001518
"8",-0.003772,-0.06247
"9",0.002818,-0.001465
"10",-0.0007844,-0.01008
"11",8.438e-05,-0.006073
"12",-0.0005985,0.005379
"13",-0.0003788,-0.00944
"14",0.0006867,0.000397
"15",-0.005583,-0.01232
"16",-0.01364,-0.004789
"17",0.02374,0.01171
"18",0.004152,-0.005175
"19",-0.001967,-0.01658
"20",0.0005093,0.005167
"21",-0.003473,-0.00372
