"","x"
"1",0.8085
"2",0.3747
"3",0.2068
"4",0.2942
"5",0.1125
"6",0.1956
"7",0.2702
"8",0.1414
"9",0.05567
"10",0.2071
"11",0.0731
"12",0.0921
"13",0.06433
"14",0.04488
"15",0.04761
"16",0.04003
"17",0.06059
"18",0.04941
"19",0.02499
"20",0.01945
"21",0.02912
"22",0.04138
"23",0.02948
"24",0.03741
"25",0.03216
"26",0.01569
"27",0.02961
"28",0.01973
"29",0.03114
"30",0.02856
"31",0.01549
"32",0.02799
"33",0.02697
"34",0.01931
"35",0.02329
"36",0.02944
"37",0.01549
"38",0.01831
"39",0.01477
"40",0.02046
"41",0.02202
"42",0.01165
"43",0.01704
"44",0.004402
"45",0.0174
"46",0.01449
"47",0.009952
"48",0.008244
"49",0.007933
"50",0.017
"51",0.006242
"52",0.00649
"53",0.008063
"54",0.01517
"55",-0.003492
"56",0.02025
"57",0.01347
"58",0.02084
"59",0.008669
"60",0.009518
"61",0.01066
"62",0.002919
"63",0.007787
"64",0.009548
"65",0.007727
"66",0.02383
"67",0.004812
"68",0.01178
"69",0.01139
"70",0.004147
"71",0.01419
"72",-9.512e-05
"73",0.008194
"74",0.01915
"75",0.004625
"76",0.006975
"77",0.001361
"78",0.006509
"79",0.007618
"80",0.008262
"81",-0.01187
"82",0.01075
"83",0.006662
"84",0.01115
"85",0.008175
"86",0.00566
"87",0.003049
"88",0.003513
"89",0.008788
"90",0.005271
"91",0.01307
"92",0.00771
"93",0.006589
"94",0.01846
"95",0.005916
"96",-0.008704
"97",-0.000336
"98",0.01087
"99",0.008806
"100",0.006854
"101",0.007744
"102",0.02334
"103",0.001238
"104",0.01057
"105",0.007552
"106",0.004974
"107",0.00585
"108",0.006472
"109",0.005709
"110",0.005543
"111",0.006584
"112",0.006307
"113",0.006774
"114",0.005303
"115",0.003961
"116",0.007494
"117",0.003461
"118",0.002279
"119",0.003801
"120",0.005379
"121",0.004163
"122",0.007975
"123",0.005338
"124",0.004618
"125",0.006399
"126",0.006579
"127",0.008637
"128",0.00245
"129",0.002591
"130",0.004228
"131",0.005292
"132",0.003177
"133",0.005026
"134",0.006948
"135",0.004444
"136",0.007628
"137",0.00794
"138",0.007787
"139",0.007836
"140",0.003601
"141",0.004629
"142",0.00664
"143",0.006105
"144",0.008492
"145",0.005949
"146",0.002916
"147",0.007704
"148",0.006519
"149",0.007007
"150",0.00569
"151",0.006362
"152",0.005101
"153",0.003542
"154",0.003467
"155",0.003305
"156",0.007754
"157",0.004767
"158",0.004591
"159",0.001744
"160",0.005096
"161",0.004936
"162",0.0043
"163",0.006543
"164",0.004062
"165",0.003431
"166",0.00258
"167",0.01112
"168",0.003467
"169",0.00394
"170",-0.0003606
"171",0.006332
"172",0.00867
"173",0.003605
"174",0.00895
"175",0.004204
"176",0.0005801
"177",-2.423e-05
"178",0.001034
"179",0.002804
"180",-0.0008859
"181",0.003171
"182",0.002174
"183",0.004397
"184",0.005244
"185",0.003043
"186",0.0006068
"187",0.004942
"188",-0.0008832
"189",0.004526
"190",0.005
"191",0.001511
"192",0.004519
"193",0.006845
"194",0.003407
"195",0.001611
"196",0.004546
"197",0.004573
"198",0.005876
"199",0.004911
"200",0.003472
"201",0.004562
"202",0.004493
"203",0.004351
"204",0.007886
"205",0.004347
"206",0.003049
"207",0.0008249
"208",0.003541
"209",0.003962
"210",0.006397
"211",0.002753
"212",0.003323
"213",0.004453
"214",0.002221
"215",0.003714
"216",0.00494
"217",0.003244
"218",0.00267
"219",0.001654
"220",0.003307
"221",0.002916
"222",0.002786
"223",0.002675
"224",0.00275
"225",0.001785
"226",0.0001067
"227",0.005211
"228",0.004215
"229",0.00112
"230",0.003317
"231",0.004631
"232",0.004166
"233",0.003257
"234",0.004765
"235",0.0009739
"236",0.0005618
"237",0.003631
"238",0.00357
"239",0.003095
"240",0.003657
"241",0.002937
"242",0.000805
"243",0.00316
"244",0.003368
"245",0.00307
"246",0.004183
"247",7.372e-05
"248",0.0008164
"249",0.003592
"250",-0.0002903
"251",0.0023
"252",0.0003686
"253",0.0031
"254",0.003539
"255",0.001464
"256",0.0001802
"257",0.003211
"258",0.001424
"259",0.002817
"260",0.003038
"261",-0.001017
"262",0.003125
"263",-0.0007357
"264",0.002908
"265",-0.0002252
"266",0.001609
"267",0.002644
"268",0.001497
"269",0.008224
"270",0.002545
"271",0.002071
"272",0.006164
"273",0.002653
"274",0.0001986
"275",0.004465
"276",0.003722
"277",0.003219
"278",0.001842
"279",0.00449
"280",0.002713
"281",0.002275
"282",0.001542
"283",0.0008476
"284",0.003907
"285",0.001705
"286",0.003229
"287",0.002298
"288",0.002817
"289",0.00175
"290",0.00304
"291",0.002923
"292",0.0004053
"293",0.0004246
"294",0.0001223
"295",0.001348
"296",0.002328
"297",0.002856
"298",0.001725
"299",0.001213
"300",0.003205
"301",0.001848
"302",-0.0004262
"303",-0.0006312
"304",-0.001529
"305",0.001086
"306",0.002767
"307",0.002826
"308",0.003164
"309",0.001279
"310",0.001235
"311",0.002487
"312",-0.0001179
"313",0.002276
"314",-0.001333
"315",0.001623
"316",0.0001833
"317",0.002591
"318",0.001031
"319",0.002393
"320",-0.002878
"321",0.001946
"322",-0.0006254
"323",-0.0006696
"324",0.00243
"325",0.003026
"326",0.003024
"327",0.002069
"328",0.002606
"329",0.00177
"330",-0.00041
"331",0.0001262
"332",0.002271
"333",0.001522
"334",0.002194
"335",0.002804
"336",0.002321
"337",0.002557
"338",0.0002567
"339",0.002381
"340",0.002184
"341",0.002377
"342",0.001927
"343",0.002184
"344",0.00283
"345",0.000242
"346",0.002515
"347",0.001494
"348",0.0007606
"349",0.001915
"350",0.000813
"351",0.001907
"352",0.002383
"353",0.002577
"354",-0.0005244
"355",0.001499
"356",0.002251
"357",-0.0006405
"358",0.002863
"359",0.002676
"360",0.00118
"361",0.001983
"362",0.001522
"363",0.001042
"364",0.002051
"365",0.00196
"366",-2.163e-05
"367",0.001414
"368",0.001604
"369",0.001057
"370",0.001771
"371",0.001239
"372",0.00261
"373",0.00184
"374",0.00197
"375",0.002861
"376",0.001627
"377",0.001706
"378",0.001679
"379",0.001123
"380",0.00119
"381",0.0007787
"382",0.002286
"383",0.001801
"384",0.00126
"385",0.001652
"386",0.001242
"387",0.0022
"388",0.001988
"389",0.0007362
"390",0.001844
"391",0.001682
"392",0.0002143
"393",0.001988
"394",0.0002022
