"","x"
"1",0.5968
"2",0.2249
"3",0.2863
"4",0.1247
"5",0.1278
"6",0.0409
"7",0.05791
"8",0.03332
"9",0.05253
"10",0.07522
"11",0.02636
"12",0.03327
"13",0.03918
"14",0.04234
"15",0.04306
"16",0.02583
"17",0.02778
"18",0.03178
"19",0.02136
"20",0.01977
"21",0.02292
"22",0.01621
"23",0.0147
"24",0.02319
"25",0.02225
"26",0.01735
"27",0.01532
"28",0.01189
"29",0.01668
"30",0.0145
"31",0.01297
"32",0.02372
"33",0.01288
"34",0.0124
"35",0.01359
"36",0.01705
"37",0.009847
"38",0.009553
"39",0.008715
"40",0.01251
"41",0.0129
"42",0.009264
"43",0.004519
"44",-0.0004345
"45",0.006008
"46",0.01362
"47",0.0109
"48",0.00345
"49",0.003041
"50",0.009345
"51",0.004065
"52",0.007989
"53",0.002847
"54",0.01182
"55",7.869e-05
"56",0.007632
"57",0.008946
"58",0.007783
"59",0.002551
"60",0.001503
"61",0.001882
"62",0.002789
"63",0.006156
"64",0.009071
"65",0.00807
"66",0.003257
"67",9.419e-05
"68",0.004835
"69",0.009893
"70",0.001371
"71",0.005972
"72",-0.008265
"73",0.00618
"74",0.002979
"75",0.002054
"76",0.006247
"77",0.006197
"78",0.006016
"79",0.006252
"80",0.01204
"81",0.001241
"82",0.005182
"83",0.002283
"84",0.003376
"85",0.007037
"86",0.01091
"87",0.0007116
"88",0.005829
"89",0.003201
"90",0.005778
"91",0.001004
"92",0.006309
"93",-0.001055
"94",0.004778
"95",-0.00594
"96",0.005751
"97",0.002399
"98",0.004935
"99",0.0005674
"100",0.005277
"101",-0.001933
"102",0.009178
"103",-0.002708
"104",0.003107
"105",0.0005183
"106",0.008553
"107",0.003427
"108",0.004723
"109",0.002865
"110",0.005713
"111",0.001602
"112",0.001088
"113",0.005609
"114",0.002379
"115",0.003724
"116",0.002894
"117",0.004602
"118",0.004265
"119",0.003036
"120",0.003708
"121",0.002585
"122",0.004915
"123",0.004135
"124",0.002619
"125",0.005243
"126",0.003842
"127",0.001278
"128",0.002369
"129",0.006214
"130",0.002984
"131",0.004157
"132",0.002843
"133",0.003823
"134",0.00198
"135",0.003939
"136",0.003567
"137",0.003615
"138",0.00361
"139",0.003459
"140",0.00337
"141",0.002727
"142",-0.000114
"143",0.002921
"144",0.005408
"145",0.006062
"146",0.009237
"147",0.004338
"148",0.004663
"149",0.00254
"150",0.002645
"151",0.0007765
"152",0.003349
"153",0.0005322
"154",0.004109
"155",0.0002907
"156",0.002672
"157",0.005245
"158",0.004763
"159",0.003443
"160",0.005542
"161",0.003649
"162",0.00289
"163",0.002743
"164",0.002402
"165",0.004549
"166",0.004635
"167",0.009231
"168",0.002142
"169",0.004098
"170",0.001919
"171",-0.0008617
"172",0.002392
"173",-0.001571
"174",0.002556
"175",0.001023
"176",-0.00285
"177",-0.005102
"178",0.002561
"179",0.0006518
"180",0.002862
"181",0.00218
"182",0.002411
"183",0.002989
"184",-0.001607
"185",0.00272
"186",0.001907
"187",0.002584
"188",0.001338
"189",0.001265
"190",0.002099
"191",0.001712
"192",-0.003608
"193",4e-04
"194",0.006991
"195",0.002394
"196",-0.001142
"197",0.002554
"198",-0.002775
"199",-0.00455
"200",-0.002258
"201",0.0004215
"202",-0.003553
"203",0.002738
"204",0.001785
"205",0.001628
"206",0.002175
"207",0.002212
"208",0.001479
"209",0.003798
"210",0.0003618
"211",0.002592
"212",0.005018
"213",0.002009
"214",0.002727
"215",0.001917
"216",0.002522
"217",0.003301
"218",0.003516
"219",0.002025
"220",0.002778
"221",0.001897
"222",0.0007584
"223",0.003582
"224",0.0007892
"225",0.002159
"226",0.001332
"227",0.002342
"228",0.001577
"229",0.005809
"230",0.002073
"231",0.001097
"232",0.0003477
"233",-0.0005409
"234",0.002279
"235",0.002528
"236",0.001181
"237",0.002457
"238",0.002328
"239",0.00275
"240",0.001602
"241",0.002132
"242",0.002951
"243",0.001127
"244",0.003166
"245",0.001195
"246",0.001695
"247",0.0006431
"248",0.003112
"249",-0.001536
"250",0.0005715
"251",-0.00228
"252",0.001625
"253",-0.001485
"254",0.001328
"255",0.001015
"256",-0.002273
"257",0.002218
"258",-0.0007252
"259",0.001509
"260",0.002046
"261",0.002121
"262",0.0009589
"263",-0.0002632
"264",-0.00251
"265",0.001837
"266",0.004307
"267",-0.0004473
"268",-0.00122
"269",0.001647
"270",0.001239
"271",1.09e-05
"272",0.003533
"273",-0.002461
"274",0.001127
"275",-0.0007054
"276",0.002056
"277",0.002002
"278",0.001665
"279",0.0009582
"280",0.0008845
"281",-0.001874
"282",-0.001376
"283",7.902e-05
"284",0.002317
"285",-0.00257
"286",0.001293
"287",0.002113
"288",-0.001846
"289",0.001136
"290",-0.0006983
"291",0.001393
"292",0.001209
"293",0.001927
"294",0.002143
"295",-0.001692
"296",-9.757e-05
"297",0.002027
"298",0.00199
"299",0.003038
"300",0.002014
"301",0.002594
"302",0.00121
"303",0.001774
"304",0.001137
"305",0.000778
"306",0.002398
"307",0.001577
"308",0.002058
"309",0.0006964
"310",0.001528
"311",0.001186
"312",0.001282
"313",0.00125
"314",0.0002471
"315",0.001525
"316",-0.001651
"317",0.002705
"318",3.23e-05
"319",-0.001836
"320",0.001565
"321",-0.002744
"322",0.000209
"323",0.002802
"324",0.001553
"325",0.002237
"326",0.003479
"327",0.001166
"328",0.0005985
"329",-9.509e-05
"330",0.00106
"331",0.002003
"332",0.002475
"333",0.002151
"334",0.0008212
"335",0.001565
"336",0.001408
"337",0.001381
"338",0.0009672
"339",0.001758
"340",-0.001734
"341",0.001134
"342",-0.0008255
"343",-0.001943
"344",0.001402
"345",0.001255
"346",0.001821
"347",0.001043
"348",0.001415
"349",0.001326
"350",0.001256
"351",-0.002188
"352",-0.001222
"353",-0.00273
"354",0.001937
"355",0.0007607
"356",0.001388
"357",0.001408
"358",0.001067
"359",0.001525
"360",-0.0006137
"361",0.001047
"362",0.001363
"363",0.0007614
"364",0.001136
"365",0.001531
"366",-0.0002127
"367",0.001103
"368",0.0008665
"369",0.00125
"370",-0.0007322
"371",-0.0002542
"372",0.0009429
"373",-0.0006679
"374",0.0004929
"375",0.0007488
"376",0.001036
"377",-0.0007195
"378",0.000962
"379",0.00123
"380",0.0004909
"381",0.001616
"382",0.0007409
"383",0.00123
"384",0.001245
"385",0.0006809
"386",0.003035
"387",0.003772
"388",0.001627
"389",0.0009906
"390",0.002782
"391",0.002645
"392",0.001809
"393",0.001159
"394",0.0006734
"395",0.001106
"396",0.001052
"397",0.0004291
"398",0.001245
"399",0.001209
"400",0.001213
"401",0.002251
"402",0.001354
"403",0.0004522
"404",0.001596
"405",0.001695
"406",0.001122
"407",0.0003647
"408",0.001164
"409",0.0007491
"410",0.002088
"411",0.0002647
"412",0.0002834
"413",0.001167
"414",0.0002591
"415",0.0007926
"416",0.0006012
"417",-3.936e-05
"418",0.0008184
"419",0.002461
"420",-0.0003175
"421",0.0003128
"422",0.0006026
"423",0.001924
