"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b1",0.0225578811283021,0.000210941438626088,0.0225014558938504,0.0225431491129072,0.0225642277093032,0.0225857547519222,0.0226293993510884,1.00050139489211,3000
"b2",0.042539596595676,0.000826023844745199,0.0423992611281396,0.0425108667259965,0.0425660620039435,0.0426183312906373,0.0427264690299276,1.00050009753473,3000
"b3",0.67847635451768,0.0174905951447417,0.648820196432209,0.668987566671421,0.678913075387152,0.688678853635064,0.707830055213187,1.00339164852529,2000
"deviance",1127230.61816271,2490.00536799645,1125129.98203783,1126438.62944056,1127133.62071528,1127884.55441595,1129208.71169508,1.00052425557432,3000
