"","x"
"1",1.363
"2",1.027
"3",0.1855
"4",0.4175
"5",0.2433
"6",0.1041
"7",0.2079
"8",0.1801
"9",0.2732
"10",0.1466
"11",0.1501
"12",0.0905
"13",0.1819
"14",0.0704
"15",0.1797
"16",0.09351
"17",0.07245
"18",0.1361
"19",0.1492
"20",0.07943
"21",0.0718
"22",0.0144
"23",0.07697
"24",0.1038
"25",0.05841
"26",0.07176
"27",0.07013
"28",0.06575
"29",0.08185
"30",0.01982
"31",0.03521
"32",0.01344
"33",0.01827
"34",0.07248
"35",0.04852
"36",0.05657
"37",0.03767
"38",0.06086
"39",0.05304
"40",0.04986
"41",0.02321
"42",0.05388
"43",0.03995
"44",0.04639
"45",0.005184
"46",0.00777
"47",-0.0176
"48",0.0487
"49",0.02058
"50",0.01065
"51",0.04524
"52",-0.01871
"53",0.01506
"54",2.828e-05
"55",0.02605
"56",0.00944
"57",0.01993
"58",0.03019
"59",0.03441
"60",0.03982
"61",0.01832
"62",0.02607
"63",0.02345
"64",0.0266
"65",0.01959
"66",0.01077
"67",0.01711
"68",0.0154
"69",0.01005
"70",0.009782
"71",0.02759
"72",0.02945
"73",0.0006419
"74",0.007266
"75",0.01058
"76",0.03293
"77",0.0229
"78",0.02784
"79",0.02367
"80",0.02162
"81",0.005572
"82",0.0249
"83",0.02157
"84",0.02098
"85",0.0241
"86",-0.0005379
"87",-0.009185
"88",0.021
"89",0.02267
"90",0.016
"91",0.02308
"92",0.001624
"93",0.01954
"94",0.0118
"95",0.02293
"96",-0.008609
"97",-0.002893
"98",0.01643
"99",-0.01204
"100",0.01879
"101",0.01339
"102",0.01878
"103",0.01567
"104",0.01877
"105",0.006554
"106",0.01256
"107",-0.004167
"108",0.00613
"109",0.001945
"110",0.0001611
"111",0.01512
"112",0.008036
"113",0.02532
"114",0.003778
"115",0.01431
"116",0.02088
"117",0.007792
"118",0.01283
"119",-0.009876
"120",0.01409
"121",0.01447
"122",0.01232
"123",0.00656
"124",0.006484
"125",-0.002018
"126",0.01025
"127",0.01254
"128",0.00668
"129",0.004533
"130",0.009086
"131",0.007571
"132",0.01742
"133",0.009593
"134",0.0009377
"135",0.01521
"136",0.005461
"137",0.01714
"138",0.008805
"139",0.004261
"140",-0.001437
"141",0.004607
"142",0.001198
"143",0.01054
"144",0.0111
"145",0.009634
"146",0.001844
"147",0.001636
"148",0.001354
"149",-0.005989
"150",0.01544
"151",0.004172
"152",0.008475
"153",0.01437
"154",-0.005062
"155",0.01149
"156",0.01008
"157",-0.0005498
"158",0.01228
"159",0.01369
"160",0.002175
"161",0.01298
"162",0.003492
"163",0.01035
"164",0.001928
"165",0.01154
"166",-0.003804
"167",0.01169
"168",0.0115
"169",0.0003154
"170",0.01037
"171",0.01684
"172",0.01278
"173",0.01452
"174",0.0009882
"175",0.006649
"176",0.008129
"177",0.005408
"178",0.004972
"179",0.008062
"180",0.008608
"181",0.009965
"182",0.00845
"183",0.00594
"184",0.002463
"185",-0.001626
"186",-0.004984
"187",0.001659
"188",-0.004436
"189",0.007706
"190",0.00352
"191",0.007511
"192",0.001148
"193",0.01058
"194",0.007361
"195",0.006612
"196",0.004496
"197",-0.001267
"198",0.004636
"199",0.0001976
"200",0.00845
"201",-0.003089
"202",0.01034
"203",0.01023
"204",-0.0007509
"205",0.003176
"206",0.009787
"207",0.006159
"208",-0.003564
"209",0.000903
"210",0.00705
"211",0.007633
"212",0.005767
"213",0.001998
"214",0.0075
"215",0.01023
"216",0.008781
"217",0.004401
"218",0.0061
"219",0.01193
"220",0.007566
"221",-0.004321
"222",0.009611
"223",0.006325
"224",0.004162
"225",0.00515
"226",0.00175
"227",0.003325
"228",0.01176
"229",0.008755
"230",0.003533
"231",0.00784
"232",0.00801
"233",0.006013
"234",0.007839
"235",0.008109
"236",0.000802
"237",0.006737
"238",-0.006066
"239",0.0007686
"240",0.004372
"241",0.005264
"242",0.004999
"243",0.002727
"244",0.004742
"245",0.001622
"246",-0.0006682
"247",0.006655
"248",0.005535
"249",-0.005592
"250",0.006893
"251",0.007143
"252",-0.00585
"253",0.00306
"254",0.004367
"255",0.006426
"256",0.004906
"257",0.006832
"258",-0.0003675
"259",0.006905
"260",0.003999
"261",-4.808e-05
"262",0.00653
"263",0.007467
"264",0.006336
"265",0.002125
"266",0.001498
"267",-0.0002676
"268",0.006495
"269",0.009578
"270",0.007317
"271",0.008808
